freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.51896373e+10,0.8625458783
1,53087548.26,0.8866625547
2,14633259.57,0.8999577848
3,15388008.06,0.9174339926
4,6722650.639,0.9265959145
5,6004413.844,0.9402343769
6,4513600.373,0.9494613744
7,1864722.18,0.9545440241
8,1637648.036,0.9597516934
9,1173031.823,0.9634818977
10,811677.3669,0.9666161009
11,805350.8926,0.9695429472
12,514453.3545,0.9718800122
13,390904.9832,0.9739221913
14,353822.4935,0.9756902754
15,300005.9146,0.97732572
16,220757.1596,0.97852915
17,184345.2375,0.9797434465
18,184812.914,0.981002802
19,125367.5445,0.9818570838
20,158729.9907,0.9829747587
21,136828.4766,0.9840936136
22,123498.6069,0.9850473663
23,96595.10151,0.9858152898
24,100314.3993,0.9866811378
25,65435.36478,0.987305385
26,61273.49358,0.9879177637
27,60747.22555,0.9884834884
28,61380.20476,0.9890690497
29,44415.80987,0.9895533042
30,40432.6416,0.9899849472
31,30604.62321,0.990346428
32,31865.2183,0.9907083222
33,26369.82821,0.9910197845
34,20787.29106,0.9912889179
35,28092.04302,0.9916207218
36,23861.79331,0.9919350807
37,25046.42404,0.9922593572
38,23176.1941,0.9925962695
39,22033.4462,0.9929065603
40,17351.70798,0.9931390957
41,18234.53707,0.9934207383
42,17876.02374,0.9936887228
43,15434.76796,0.9939411449
44,14924.62651,0.9941750541
45,15345.30193,0.9944120709
46,11932.04565,0.9946126296
47,13511.34653,0.9948366648
48,12109.38061,0.9950512063
49,11260.79743,0.9952455979
50,9494.293422,0.9954267473
51,8975.380855,0.9955918798
52,8389.486435,0.9957405161
53,8908.707665,0.9959145396
54,7234.518902,0.9960476431
55,7206.518303,0.996201511
56,6029.455293,0.996319291
57,6152.97402,0.9964450741
58,5707.433949,0.9965630456
59,5230.34471,0.9966723438
60,5275.848165,0.996789783
61,4760.904191,0.9968946783
62,4955.096781,0.9970049776
63,4250.261454,0.9971015183
64,4720.847928,0.9972055311
65,4558.99781,0.9973173687
66,4168.809816,0.9974120593
67,3893.380849,0.9975057999
68,3385.995606,0.9975927078
69,3138.837342,0.9976668554
70,3109.822075,0.9977459685
71,2518.507558,0.9978071784
72,2568.20113,0.9978771796
73,2449.880907,0.9979417298
74,2618.116033,0.9980107127
75,2491.74133,0.9980780638
76,2304.22633,0.9981408698
77,2558.657296,0.9982129355
78,2219.224382,0.9982729206
79,1910.94728,0.9983267432
80,1664.756676,0.9983759006
81,1984.379765,0.9984322423
82,1630.932612,0.9984818827
83,1619.410981,0.9985282298
84,1546.70505,0.9985753066
85,1468.11907,0.9986209919
86,1282.609032,0.9986606132
87,1329.87707,0.9987022987
88,1346.225302,0.9987423562
89,1244.096168,0.9987847439
90,1017.998994,0.9988166535
91,1005.139984,0.9988495299
92,959.502027,0.9988811315
93,950.2331102,0.9989126436
94,970.2455351,0.9989461417
95,874.2107046,0.9989749342
96,934.3480507,0.9990067684
97,770.6274978,0.9990344249
98,720.2185285,0.9990592907
99,696.9478976,0.9990847778
100,722.0670568,0.9991097074
101,677.8396666,0.9991352656
102,668.3136832,0.9991597056
103,630.5821684,0.9991820496
104,617.2878278,0.9992056051
105,624.3063454,0.9992284357
106,559.2393389,0.9992505383
107,498.6883651,0.999269568
108,555.1011194,0.9992904983
109,487.9771158,0.9993094518
110,481.7955698,0.9993282747
111,469.1185911,0.9993474548
112,422.1239903,0.999364234
113,393.0875076,0.999380127
114,392.5229855,0.9993967103
115,365.7095005,0.9994116625
116,351.21304,0.9994259422
117,338.5241555,0.9994400904
118,350.5144227,0.9994550582
119,344.5393364,0.9994698491
120,321.6291599,0.9994835835
121,280.8225624,0.9994953202
122,298.1040259,0.9995083885
123,275.902042,0.9995212982
124,256.7903022,0.9995322638
125,257.6548689,0.9995440856
126,251.3385559,0.9995548755
127,242.9438367,0.9995661327
128,213.618119,0.9995761281
129,231.5133327,0.9995864875
130,209.7491675,0.9995964925
131,204.4590219,0.9996058735
132,194.8024771,0.999615431
133,176.1688611,0.9996238742
134,178.2186221,0.9996319703
135,165.4878596,0.9996402399
136,168.4878451,0.9996483915
137,173.869447,0.9996570009
138,155.4457014,0.9996646275
139,163.2266352,0.9996725245
140,150.5487518,0.9996803212
141,142.6877803,0.9996873866
142,130.1886417,0.9996940105
143,139.6316993,0.9997011466
144,129.6186647,0.9997078593
145,110.8429073,0.9997137507
146,119.7051667,0.9997199228
147,110.8014038,0.999725661
148,122.9210031,0.9997323061
149,107.172495,0.9997380511
150,100.2774196,0.9997434492
151,107.2857944,0.9997490541
152,93.47670752,0.9997542348
153,100.6620458,0.9997596537
154,87.43656142,0.9997646188
155,95.98079886,0.999769851
156,87.80937225,0.9997747176
157,90.10266938,0.9997799365
158,83.61908693,0.9997844949
159,82.42717651,0.9997891755
160,82.84527297,0.9997938987
161,75.7616158,0.9997984417
162,78.48641098,0.9998030056
163,72.26877196,0.999807093
164,69.68061673,0.999811208
165,73.55408789,0.9998155185
166,63.25418901,0.9998193977
167,67.65769287,0.9998233473
168,63.72561405,0.9998270528
169,62.6554276,0.9998309522
170,61.49706022,0.9998347098
171,57.73464279,0.9998382505
172,58.33725638,0.9998417752
173,53.08931496,0.9998451275
174,55.99874538,0.9998486509
175,51.12233618,0.9998517861
176,48.7882442,0.9998548668
177,48.28131029,0.9998578388
178,46.68162741,0.9998608925
179,49.78608063,0.9998641041
180,42.88100288,0.9998668021
181,44.59547516,0.9998696991
182,41.74120222,0.9998724676
183,42.02350209,0.9998752739
184,44.15926699,0.9998780724
185,39.6434141,0.9998807018
186,39.80245071,0.999883414
187,36.68568831,0.9998858555
188,35.96546089,0.9998882736
189,36.14788018,0.9998906711
190,36.29468056,0.9998931278
191,35.09314652,0.9998955749
192,32.28440018,0.9998977309
193,34.0568803,0.9999001444
194,30.72508718,0.9999022311
195,30.74392939,0.9999044098
196,32.06874937,0.9999066825
197,29.95731578,0.9999087647
198,30.25419477,0.9999109293
199,27.92932177,0.9999128833
200,28.81523167,0.9999150039
201,29.40003553,0.9999170674
202,27.62994517,0.9999190129
203,26.25100378,0.9999209925
204,25.59753422,0.9999228356
205,26.81752445,0.9999248457
206,25.8155738,0.9999266987
207,24.5456621,0.9999285162
208,24.24983817,0.9999303394
209,23.75887308,0.9999320987
210,23.93288272,0.9999338818
211,21.02466279,0.9999354911
212,23.29228833,0.9999372582
213,21.98469685,0.9999389361
214,21.67091395,0.99994059
215,21.40738407,0.9999421995
216,20.60663908,0.9999438189
217,20.20817603,0.9999453979
218,19.34829314,0.9999468878
219,20.26500492,0.9999484804
220,19.75758802,0.9999500332
221,18.53884908,0.9999515028
222,18.38241665,0.9999529892
223,18.49118804,0.9999544341
224,18.96901165,0.9999559766
225,17.56235684,0.9999573688
226,17.49292764,0.9999587833
227,17.92248079,0.9999602244
228,17.2524475,0.9999616469
229,17.07534429,0.9999630974
230,17.01499113,0.9999644501
231,17.03948664,0.9999658434
232,16.57620838,0.9999672102
233,15.796739,0.9999685306
234,15.53570436,0.9999698645
235,16.14002612,0.9999711879
236,15.60210321,0.9999724992
237,13.97235418,0.9999737052
238,15.91942215,0.9999750178
239,14.9454674,0.9999763213
240,14.77759444,0.9999775498
241,14.33901276,0.9999788266
242,14.26476865,0.9999800805
243,14.64586412,0.999981338
244,13.46439001,0.9999825246
245,14.81788958,0.99998378
246,13.81257527,0.9999850475
247,13.92691416,0.9999862686
248,13.89573259,0.9999874743
249,13.05745075,0.9999886339
250,14.20089564,0.9999898855
251,13.2561423,0.9999910899
252,13.42647713,0.9999922945
253,13.32997181,0.9999934996
254,12.79967641,0.9999946741
255,12.8460754,0.9999958588
256,7.97560463,0.9999965408
257,2.211648665,0.9999967132
258,2.02459944,0.9999968704
259,1.835933556,0.9999970039
260,1.917137942,0.9999971406
261,1.953326405,0.9999972755
262,1.747766019,0.9999973918
263,1.897325572,0.9999975164
264,1.757090414,0.9999976261
265,1.739615021,0.9999977379
266,1.528370958,0.9999978306
267,1.589847893,0.9999979249
268,1.512738227,0.9999980142
269,1.591351501,0.9999981035
270,1.620989876,0.9999981948
271,1.45417509,0.9999982754
272,1.358700467,0.9999983495
273,1.225440021,0.9999984132
274,1.222362892,0.9999984754
275,1.327612739,0.999998546
276,1.29365118,0.99999861
277,1.195189266,0.9999986692
278,1.080538071,0.9999987195
279,1.114689762,0.9999987719
280,1.170423882,0.9999988291
281,1.165748981,0.9999988805
282,1.132079548,0.9999989321
283,1.106531742,0.9999989794
284,0.9636531838,0.9999990214
285,0.9782616235,0.9999990639
286,1.034509812,0.9999991047
287,0.9807774121,0.9999991468
288,0.9255932628,0.9999991826
289,0.8404096402,0.999999216
290,0.8593350265,0.9999992503
291,0.8090467353,0.9999992792
292,0.7496653186,0.9999993093
293,0.802997036,0.9999993374
294,0.7969351789,0.9999993662
295,0.744065628,0.9999993927
296,0.7815598075,0.9999994188
297,0.7482302621,0.9999994457
298,0.7131887445,0.9999994682
299,0.710915365,0.9999994919
300,0.7146547347,0.9999995147
301,0.6617667588,0.999999535
302,0.7141631234,0.9999995578
303,0.6044594242,0.999999575
304,0.6376697582,0.9999995943
305,0.6402332855,0.9999996127
306,0.5940981092,0.9999996296
307,0.5955502219,0.9999996464
