freq_radius,radial_mean_power,cumulative_energy_fraction
0,8320193162,0.7110074791
1,78434900.88,0.7646291199
2,34294386.23,0.8115195026
3,19034170.57,0.8440510493
4,8200174.718,0.8608690787
5,6965350.717,0.8846782204
6,4957988.68,0.8999309929
7,2601924.611,0.910603752
8,1702661.941,0.9187518682
9,788967.9194,0.922527487
10,1048303.824,0.9286191636
11,862220.7731,0.9333347881
12,594713.313,0.9374005169
13,525659.9485,0.9415332131
14,529411.2431,0.9455144369
15,308931.4057,0.9480488304
16,305829.0695,0.9505577732
17,322334.6234,0.9537530296
18,238920.6256,0.9562030835
19,244266.8795,0.9587079616
20,198203.7422,0.9608082276
21,169414.2654,0.9628929739
22,142554.9303,0.9645497428
23,116316.7136,0.9659413315
24,91236.15209,0.9671264215
25,117834.1979,0.9688181138
26,84769.99106,0.9700930709
27,79008.13763,0.9712003483
28,80271.65461,0.9723527722
29,68800.84224,0.9734816209
30,64866.19418,0.9745237392
31,48446.42549,0.9753848635
32,59555.20041,0.9764027291
33,43382.55161,0.9771738442
34,49436.90189,0.9781370672
35,40242.82798,0.9788523744
36,40529.32311,0.979655897
37,42586.24177,0.9804856425
38,41973.84653,0.9814038895
39,29777.57691,0.9820349657
40,34558.48963,0.9827319251
41,29512.24787,0.9834179059
42,31409.1655,0.9841265058
43,27167.34343,0.9847951275
44,22986.08666,0.9853372717
45,21203.90267,0.9858301339
46,19585.77117,0.9863255534
47,20947.05809,0.9868482464
48,19473.09133,0.9873674411
49,18848.80292,0.987857105
50,18168.61492,0.9883787822
51,15226.14239,0.988800358
52,14471.40161,0.9891861969
53,13628.13657,0.9895868197
54,13424.09581,0.9899585011
55,11712.67271,0.9903348448
56,11734.01227,0.9906797865
57,10586.19285,0.9910054605
58,12163.34555,0.9913838117
59,10704.1689,0.991720433
60,8691.052976,0.9920115712
61,10517.23435,0.9923602889
62,8966.909113,0.992660668
63,8026.470586,0.9929350308
64,8512.891167,0.993217291
65,7473.107548,0.9934931745
66,8187.851426,0.9937730538
67,6686.091287,0.9940153122
68,5983.073466,0.9942464141
69,6148.057066,0.9944649748
70,5243.83762,0.9946657305
71,5786.672211,0.9948773781
72,4599.622204,0.9950660487
73,4735.802824,0.99525383
74,3986.209938,0.9954118889
75,4498.322098,0.9955948666
76,3575.733713,0.9957415386
77,3669.491465,0.9958970737
78,3648.190741,0.9960454707
79,3363.792123,0.9961880484
80,2811.714591,0.9963129924
81,2805.24864,0.9964328546
82,2726.3898,0.9965577348
83,2540.188241,0.9966671398
