freq_radius,radial_mean_power,cumulative_energy_fraction
0,2.64703571e+10,0.8700638362
1,60019093.84,0.8858461524
2,26297223.53,0.8996761211
3,5883784.431,0.9035440463
4,5755870.759,0.9080846499
5,3181135.297,0.9122671259
6,2542534.549,0.9152756997
7,1818250.65,0.9181444075
8,711176.6126,0.9194534592
9,1034026.501,0.9213567757
10,934356.6394,0.923445172
11,992459.6167,0.9255329491
12,702682.9946,0.9273806886
13,553771.3189,0.9290552829
14,736617.4363,0.9311859519
15,527166.4266,0.932849404
16,394917.4707,0.9340955499
17,615404.5744,0.936441993
18,627724.8352,0.938917943
19,693060.3528,0.9416515975
20,467139.6923,0.9435555661
21,458389.2535,0.9457252089
22,418401.1929,0.94759556
23,353666.704,0.949223032
24,330190.0577,0.9508727089
25,337170.2103,0.9527345808
26,378945.5983,0.9549267842
27,296908.3382,0.9565272911
28,300165.3038,0.95818482
29,252917.3684,0.9597809608
30,220060.4406,0.9611408112
31,167799.4521,0.9622880272
32,198224.0223,0.9635911268
33,191544.826,0.9649006858
34,173313.0641,0.9661995312
35,221331.0406,0.9677127334
36,185721.8006,0.9691289908
37,162523.6726,0.9703469782
38,170505.1343,0.9717817035
39,142791.392,0.9729456822
40,128054.887,0.9739390257
41,138469.5071,0.9751770078
42,151540.0924,0.9764919989
43,122512.9369,0.9776517525
44,88175.00766,0.9784516713
45,84770.58935,0.97920956
46,75009.11395,0.9799393486
47,80275.90501,0.9807098251
48,63063.98779,0.9813565615
49,55090.08718,0.9819070375
50,55902.43032,0.9825244299
51,57264.69512,0.9831342803
52,56713.558,0.9837158915
53,50013.02413,0.9842813919
54,40485.26425,0.9847125467
55,50401.8088,0.9853354567
56,42045.54447,0.9858108683
57,45356.88035,0.9863475749
58,34339.96528,0.9867584337
59,38455.87183,0.9872235931
60,28260.49005,0.9875877236
61,30991.89231,0.9879829729
62,28979.93116,0.9883563733
63,26218.88534,0.9887010926
64,26885.73021,0.9890439747
65,22640.20779,0.9893654558
66,23682.3048,0.9896768248
67,24658.93862,0.9900204868
68,18516.29173,0.9902955825
69,19271.00889,0.9905590876
70,17576.93157,0.9908179163
71,13727.36621,0.9910110341
72,14236.52418,0.9912356479
73,16732.82991,0.9914908468
74,15807.08532,0.9917319267
75,15910.26985,0.9919808559
76,18020.63686,0.9922651728
77,15946.72825,0.9925251556
78,13588.67893,0.9927377616
79,13861.27261,0.9929637448
80,11239.14582,0.993155845
81,11588.33394,0.9933462956
82,11475.13111,0.9935484643
83,10616.17766,0.9937243336
84,10474.00538,0.9939088644
85,8741.292478,0.9940663161
86,8070.682416,0.9942106275
87,7664.404996,0.9943496896
88,7054.888639,0.9944711998
89,7173.876205,0.9946126803
90,6753.487195,0.9947352148
91,7249.352127,0.994872465
92,6557.220217,0.9949974734
93,5998.605228,0.9951126208
94,6247.616573,0.9952374768
95,6217.713031,0.9953560127
96,5570.489506,0.9954658718
97,5420.584093,0.995578476
98,4834.838162,0.9956750981
99,4754.166716,0.9957757337
100,5098.724601,0.9958776296
101,4765.777586,0.9959816439
102,4585.62073,0.9960787117
103,4349.290868,0.9961679178
104,4643.707928,0.996270489
105,4302.665505,0.9963615673
106,4068.858965,0.9964546509
107,4058.202614,0.9965442893
108,4018.791907,0.9966320005
109,3734.401551,0.9967159597
110,3369.212853,0.9967921515
111,3223.31307,0.9968684343
112,3017.537295,0.9969378634
113,2766.573284,0.9970026095
114,2466.206618,0.9970629201
115,2529.037737,0.9971227722
116,2562.586964,0.9971830813
117,2523.294107,0.9972441245
118,2262.365577,0.9973000451
119,2138.745964,0.9973531913
120,1863.338635,0.9973992489
121,2087.966757,0.9974497606
122,2057.395341,0.9975019674
123,2145.828013,0.9975600857
124,2088.061269,0.9976116979
125,1948.145823,0.9976634377
126,1835.190111,0.9977090407
127,1675.999706,0.9977539934
128,1924.219918,0.9978061097
129,2360.238455,0.9978672423
130,1860.449925,0.9979186099
131,1743.565995,0.9979649163
132,1325.940287,0.9980025718
133,1392.951266,0.9980412147
