freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.515413606e+10,0.8346742026
1,40107786.84,0.8523469672
2,28522873.22,0.8774831348
3,17970866.79,0.8972794714
4,14321365.16,0.9162108164
5,5743096.837,0.9288637706
6,4965674.967,0.9387099241
7,2748485.881,0.9459763451
8,1944568.189,0.9519742146
9,1321911.196,0.956051547
10,1510204.811,0.9617078227
11,890354.4677,0.9648463703
12,865371.0459,0.96865947
13,560375.6664,0.9714990421
14,394199.6714,0.9734097079
15,483328.8121,0.9759653482
16,304496.9189,0.9775754004
17,253276.6157,0.9791936253
18,197199.6312,0.9804970116
19,191046.1063,0.9817597264
20,135848.1743,0.9826875412
21,153668.7171,0.9839063449
22,110968.0257,0.9847375775
23,97818.03922,0.9854918578
24,107445.5317,0.9863913922
25,99006.47615,0.9873075256
26,62193.50427,0.9879104231
27,75791.70909,0.9885950459
28,49720.03864,0.9890551187
29,51043.12312,0.989594908
30,44602.7596,0.9900567627
31,44065.88804,0.9905616003
32,43594.63253,0.9910418298
33,38365.27014,0.9914813586
34,28198.45869,0.991835475
35,27968.00574,0.9921558884
36,26748.04253,0.9924976835
37,29202.7315,0.9928644115
38,26263.46646,0.9932347321
39,20901.5384,0.9935202384
40,21214.61928,0.9937959995
41,17913.52637,0.9940643707
42,18233.23225,0.9943294973
43,14232.13953,0.9945552581
44,13608.34223,0.9947621293
45,11910.43447,0.9949405653
46,12059.3729,0.9951371738
47,10994.82127,0.9953140041
48,11230.97778,0.9955070044
49,11070.33586,0.9956923662
50,9862.557588,0.995874888
51,7641.343705,0.9960112522
52,8789.045329,0.9961622888
53,7640.187785,0.9963070487
54,8525.600961,0.996459193
55,6463.854082,0.9965930575
56,6711.840566,0.9967202278
57,6668.127092,0.9968524463
58,4847.361546,0.9969496298
59,4792.564619,0.9970467706
60,5443.582697,0.9971643028
61,4245.322232,0.997255028
62,3615.587821,0.997333092
63,3886.351508,0.9974187145
64,4138.250279,0.9975071516
65,4198.230149,0.9976070447
66,3578.573628,0.9976858864
67,2658.242496,0.9977479656
68,3266.520388,0.9978292879
69,2956.608856,0.9978970322
70,2410.358613,0.9979565088
71,2658.362228,0.9980191765
72,2272.998454,0.9980792698
73,2312.318784,0.9981383649
74,2270.410255,0.9981963889
75,2260.599352,0.9982556564
76,1984.083838,0.9983081114
77,1890.733701,0.9983597647
78,1832.994199,0.9984078214
79,1675.751511,0.9984536015
80,1642.548369,0.9985006459
81,1559.243437,0.9985435866
82,1508.041399,0.9985881075
83,1653.771952,0.9986340159
84,1348.248947,0.9986738193
85,1235.240701,0.9987111029
86,1280.542179,0.9987494718
87,1093.851347,0.9987827288
88,1259.852411,0.9988190899
89,1156.183525,0.9988572987
90,947.9535893,0.9988861199
91,921.26933,0.9989153476
92,980.5161744,0.998946671
93,864.966404,0.9989744936
94,946.9634769,0.9990062055
95,759.2992148,0.999030462
96,829.2495619,0.9990578665
97,731.2565472,0.9990833215
98,777.9086184,0.9991093721
99,768.5453114,0.999136633
100,685.1630077,0.9991595778
101,607.0576798,0.9991817794
102,540.3859655,0.9992009473
103,588.779635,0.9992211832
104,544.1881865,0.9992413253
105,517.5484835,0.9992596832
106,513.952798,0.9992793856
107,495.77289,0.9992977356
108,512.2340541,0.9993164693
109,467.0614395,0.9993340654
110,415.1870426,0.9993497986
111,396.671481,0.9993655293
112,397.1228313,0.9993808405
113,390.8456007,0.999396168
114,322.6543734,0.99940939
115,353.1677471,0.9994233955
116,331.5511383,0.9994364707
117,345.1999249,0.9994504645
118,302.9113756,0.9994630109
119,315.2157839,0.9994761364
120,296.1676166,0.9994884035
121,255.1549352,0.999498747
122,268.1387969,0.9995101485
123,246.6861191,0.9995213444
124,267.9923639,0.9995324444
125,252.9844833,0.9995437032
126,251.4894764,0.9995541752
127,226.1060199,0.9995643374
128,240.4167853,0.9995752487
129,211.8823268,0.9995844449
130,206.5727027,0.9995940022
131,209.8696017,0.9996033422
132,182.1053274,0.9996120083
133,195.742404,0.9996211077
134,173.382191,0.9996287475
135,174.3656743,0.9996371989
136,186.4139167,0.9996459468
137,161.0907519,0.9996536838
138,151.547991,0.9996608957
139,152.0623731,0.9996680316
140,144.2655716,0.9996752783
141,157.1210447,0.9996828247
142,145.028355,0.9996899819
143,137.8362497,0.9996968146
144,130.2079675,0.9997033552
145,119.2849895,0.9997095048
146,118.8530689,0.9997154489
147,124.5865755,0.9997217071
148,114.7162815,0.9997277223
149,110.7114004,0.9997334787
150,107.6603755,0.9997391001
151,109.7907647,0.9997446635
152,101.3975359,0.9997501144
153,106.2538546,0.9997556624
154,96.62309295,0.9997609843
155,82.54581567,0.999765349
156,87.94119621,0.9997700764
157,83.81441457,0.9997747852
158,83.32922411,0.9997791913
159,88.99216291,0.9997840929
160,76.79675188,0.9997883397
161,72.28658019,0.9997925441
162,75.19963466,0.9997967854
163,75.31664802,0.9998009172
164,68.46823426,0.9998048392
165,69.20307563,0.9998087728
166,58.64650249,0.9998122614
167,62.53115127,0.999815802
168,68.67168392,0.9998196752
169,62.91353036,0.999823473
170,64.913772,0.9998273201
171,60.60787173,0.9998309254
172,52.86934647,0.9998340238
173,58.56801452,0.9998376109
174,53.85563618,0.9998408976
175,56.64626513,0.9998442672
176,53.35641922,0.9998475352
177,48.66811895,0.999850441
178,49.71349075,0.9998535953
179,51.57669494,0.9998568225
180,53.74191815,0.9998601022
181,49.64584655,0.9998632304
182,42.86582336,0.9998659881
183,40.37467139,0.9998686032
184,43.34224508,0.9998712674
185,42.54674234,0.9998740045
186,41.67293104,0.9998767589
187,38.06171153,0.9998792159
188,38.44385082,0.9998817229
189,39.71302925,0.9998842778
190,38.91161947,0.9998868325
191,38.3822025,0.9998894285
192,35.71748118,0.9998917421
193,32.69545174,0.9998939895
194,32.33833059,0.9998961198
195,32.01259637,0.9998983203
196,33.18838659,0.9999006016
197,32.63147898,0.9999028015
198,30.21461302,0.9999048984
199,31.10841099,0.9999070093
200,30.08434623,0.9999091568
201,31.35159389,0.9999112911
202,31.10486568,0.9999134155
203,26.67549767,0.9999153667
204,27.07023004,0.9999172573
205,25.95384804,0.9999191442
206,27.52389055,0.9999210605
207,26.91625683,0.9999229937
208,24.66375095,0.9999247923
209,25.12408261,0.9999265967
210,23.90057062,0.9999283239
211,24.5148875,0.999930144
212,25.16119517,0.9999319955
213,23.27635373,0.9999337186
214,23.39644366,0.9999354505
215,22.48723877,0.9999370904
216,21.74760412,0.9999387482
217,23.27085806,0.9999405119
218,21.44671006,0.9999421137
219,21.05574074,0.9999437187
220,20.77638118,0.9999453025
221,19.73825402,0.9999468202
222,21.51221874,0.9999485074
223,20.81498394,0.999950085
224,20.45028298,0.999951698
225,20.59798181,0.9999532817
226,19.02274556,0.9999547737
227,19.45050172,0.9999562907
228,19.52561753,0.9999578523
229,19.52079316,0.9999594607
230,20.47433957,0.9999610395
231,18.6511205,0.9999625188
232,18.72714287,0.9999640165
233,18.85314646,0.9999655451
234,18.1138895,0.9999670536
235,19.09812414,0.9999685725
236,17.2129562,0.9999699757
237,16.71366162,0.9999713749
238,17.68174923,0.999972789
239,17.56926521,0.9999742754
240,18.94053316,0.9999758027
241,17.66158876,0.999977328
242,16.28851837,0.9999787168
243,16.70033371,0.9999801076
244,16.32880212,0.9999815034
245,17.27684966,0.9999829232
246,16.45408535,0.9999843878
247,15.008564,0.9999856641
248,15.45896023,0.9999869651
249,15.32867445,0.9999882856
250,16.38567645,0.9999896863
251,16.9261688,0.9999911779
252,16.05940193,0.9999925755
253,15.08024762,0.9999938978
254,14.17642042,0.9999951596
255,15.24173959,0.999996523
256,9.392470847,0.9999973021
257,2.195523752,0.999997468
258,1.852169495,0.9999976076
259,1.75781795,0.9999977315
260,1.641711328,0.9999978451
261,1.478975086,0.9999979441
262,1.512774128,0.9999980418
263,1.309237621,0.9999981251
264,1.284617236,0.999998203
265,1.259620635,0.9999982815
266,1.250247364,0.999998355
267,1.17970375,0.9999984229
268,1.101523137,0.999998486
269,1.191146432,0.9999985508
270,1.108417383,0.9999986114
271,1.001996408,0.9999986652
272,1.095205926,0.9999987231
273,0.9541875531,0.9999987713
274,0.9379995352,0.9999988176
275,0.9113091187,0.9999988645
276,0.8226961463,0.9999989041
277,0.790278303,0.999998942
278,0.7455261178,0.9999989757
279,0.7857516461,0.9999990115
280,0.8030843305,0.9999990496
281,0.7656407437,0.9999990823
282,0.800158343,0.9999991177
283,0.7259370442,0.9999991478
284,0.7420621097,0.9999991792
285,0.7536802461,0.9999992109
286,0.7041105564,0.9999992379
287,0.6996236226,0.999999267
288,0.6916778153,0.9999992929
289,0.7010349064,0.9999993199
290,0.6373346315,0.9999993447
291,0.6682581791,0.9999993678
292,0.6497750522,0.9999993931
293,0.5923185618,0.9999994132
294,0.6385988652,0.9999994356
295,0.601250709,0.9999994564
296,0.6850070717,0.9999994786
297,0.5646055916,0.9999994982
298,0.6307718178,0.9999995175
299,0.5757151038,0.9999995362
300,0.5923804824,0.9999995544
301,0.5607645978,0.9999995711
302,0.5268384892,0.9999995875
303,0.5298634846,0.9999996021
304,0.599345423,0.9999996196
305,0.6341291779,0.9999996374
306,0.5518675182,0.9999996526
307,0.5516677872,0.9999996677
308,0.5461297912,0.999999681
309,0.5177400806,0.9999996954
310,0.4588814285,0.9999997063
311,0.5137527408,0.9999997195
312,0.4320726477,0.9999997297
313,0.4736209375,0.9999997408
314,0.5004699092,0.9999997525
315,0.4856277801,0.9999997631
316,0.554497818,0.9999997758
317,0.4427881652,0.9999997849
318,0.4832177157,0.9999997951
319,0.4949565704,0.9999998053
320,0.5476403455,0.9999998154
321,0.4980744702,0.9999998257
322,0.4666033031,0.9999998341
323,0.5425476706,0.9999998445
324,0.480242824,0.9999998527
325,0.4546046727,0.9999998605
