freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.315220846e+10,0.8390248342
1,58762320.46,0.8690140463
2,15421617.35,0.8847548187
3,3165134.907,0.8887931166
4,2313295.44,0.8923348713
5,2519607.257,0.8987642495
6,1809825.55,0.9029206304
7,814710.7687,0.9054153448
8,1420070.358,0.9104884518
9,425901.9499,0.9120099582
10,620532.658,0.9147018009
11,719552.7334,0.9176395773
12,512418.5154,0.9202546932
13,690916.9824,0.9243096835
14,618308.9017,0.927780761
15,517645.816,0.9309509129
16,527595.4738,0.9341819982
17,353787.221,0.9368000381
18,327319.9838,0.9393057429
19,298562.1981,0.9415913006
20,216014.3754,0.9433000583
21,223259.7563,0.9453509799
22,225057.1961,0.9473035559
23,148322.0865,0.9486282329
24,168311.5545,0.9502602836
25,152761.7905,0.9518974776
26,150619.0837,0.9535885757
27,126490.5001,0.9549119354
28,127371.5842,0.956277015
29,92292.52211,0.9574074455
30,116360.8156,0.9588029805
31,132644.6749,0.9605630478
32,119609.783,0.9620891121
33,63570.06381,0.9629326258
34,83775.40913,0.9641511314
35,151275.7629,0.9661584154
36,138096.8197,0.9682022596
37,102272.383,0.969689802
38,90030.41219,0.9711600999
39,107610.6011,0.9728625832
40,109429.6337,0.9745100744
41,93462.36122,0.9761318164
42,92010.97674,0.9776814168
43,89405.2307,0.9793240157
44,73168.55996,0.9806122941
45,50098.77819,0.9814815991
46,36795.83174,0.9821764098
47,36871.14083,0.9828632339
48,39749.62052,0.9836543928
49,37975.63206,0.9843908622
50,36181.15384,0.9851663908
51,35604.18912,0.9859022967
52,29964.7772,0.9864987024
53,29815.3387,0.9871529984
54,27440.46569,0.9877201676
55,25562.62535,0.9883333214
56,21400.71107,0.9888029589
57,18763.44754,0.9892338736
58,19511.46088,0.9896869457
59,19400.90164,0.9901424011
60,16603.05649,0.9905575943
61,15011.7745,0.9909291637
62,15377.03354,0.9913136977
63,13185.52796,0.9916501578
64,12410.63215,0.9919573441
65,11534.10226,0.9922752098
66,10404.102,0.9925406952
67,11896.59458,0.9928624794
68,10703.70193,0.9931711168
69,9777.237689,0.9934305859
70,8815.495666,0.9936825281
71,6541.048837,0.9938611223
72,7256.765292,0.9940833306
73,6893.847006,0.9942873896
74,7049.837324,0.994496066
75,6517.507544,0.9946939746
76,5747.674836,0.9948699733
77,5984.62863,0.9950593362
78,5890.111602,0.9952381935
79,5406.234457,0.9954092552
80,5025.133364,0.9955759519
81,4119.09638,0.9957073376
82,3814.918362,0.9958377822
83,3739.454321,0.9959580128
84,3778.419572,0.9960872094
85,2958.410288,0.9961906319
86,3172.393868,0.9963007255
87,2866.825322,0.9964016779
88,2509.618112,0.9964855688
89,2085.571411,0.9965653963
90,2400.212674,0.9966499174
91,2035.937098,0.9967247279
92,2236.108372,0.9968074644
93,2353.295501,0.9968951373
94,2491.77323,0.9969917843
95,2169.356206,0.9970720509
96,1945.741922,0.9971465263
97,2023.580231,0.9972281119
98,2399.031853,0.9973211618
99,1821.517989,0.9973959952
100,1929.692923,0.997470841
101,2002.72972,0.9975556744
102,1981.129772,0.9976370651
103,1928.116872,0.9977138179
104,1822.835535,0.9977919614
105,1934.472169,0.9978714353
106,1618.503444,0.9979432972
107,1284.82821,0.9979983768
108,1227.344283,0.9980503657
109,1287.157265,0.9981065304
110,1163.524837,0.9981575974
111,1094.139779,0.9982078527
112,1049.489071,0.998254718
113,1051.98205,0.9983025001
114,1020.977986,0.9983509581
115,1000.367742,0.9983969062
116,892.023956,0.9984376504
117,988.8204265,0.9984840775
118,975.3187471,0.9985308662
119,898.3705732,0.9985741926
120,855.822678,0.9986152487
121,737.4889091,0.9986498753
122,868.5358939,0.9986926494
123,700.1602884,0.9987294539
124,617.4438981,0.9987590744
125,717.6208491,0.9987960642
126,744.0652116,0.9988319489
127,549.1419003,0.9988605347
128,587.4540587,0.9988914147
129,613.2834393,0.998922244
130,561.1706671,0.9989523152
131,534.1794274,0.9989798495
132,560.8435704,0.9990107618
133,589.3671121,0.9990424944
134,482.6809398,0.9990671279
135,466.3409576,0.9990933074
136,506.7096938,0.9991208481
137,455.0855641,0.9991461636
138,486.0535433,0.9991729537
139,486.1200052,0.9991993753
140,431.246536,0.999224465
141,396.7708848,0.9992465366
142,383.6231157,0.999268464
143,381.9756204,0.9992903948
144,404.639079,0.9993139366
145,376.3664399,0.9993364097
146,321.2627957,0.9993550187
147,272.7879229,0.9993708894
148,262.7944838,0.9993868492
149,266.7366208,0.9994029124
150,274.5463914,0.9994195159
151,240.9588827,0.9994336578
152,217.3297215,0.9994471892
153,240.9741837,0.9994617625
154,249.0327852,0.9994776491
155,249.9436125,0.9994929561
156,244.9860518,0.9995082095
157,254.1951118,0.9995247498
158,260.3991347,0.9995406971
159,237.4676711,0.999555846
160,197.7234809,0.9995685099
161,185.5053492,0.9995810066
162,168.7692903,0.9995920314
163,126.6480889,0.9996000784
164,144.4886522,0.9996096645
165,144.507139,0.9996191781
166,131.0614624,0.9996282079
167,145.7299455,0.9996377648
168,149.8809913,0.9996475557
169,138.6750366,0.9996572515
170,141.6027586,0.9996669714
171,120.5957441,0.9996752801
172,122.309699,0.999683582
173,127.3307597,0.9996926146
174,110.7575045,0.9997004433
175,113.4355063,0.9997082587
176,106.5888667,0.9997158199
177,109.8904188,0.9997234191
178,96.80250106,0.9997305331
179,73.00237335,0.9997358235
180,78.26551347,0.9997413556
181,86.27865453,0.9997476522
182,105.7568262,0.9997555322
183,94.15804733,0.999762596
184,85.97770919,0.9997687171
185,80.89891707,0.9997747449
186,81.74320961,0.9997810025
187,93.22069247,0.9997879723
188,72.04935565,0.9997934143
189,75.68082829,0.9997990533
190,76.76009393,0.9998048903
191,71.42495602,0.9998104856
192,71.62527288,0.999815859
193,75.77115586,0.9998218915
194,71.56595521,0.9998271737
195,69.42932542,0.9998322849
196,57.19073572,0.9998363857
197,60.02987503,0.9998404909
198,62.68717199,0.9998448579
199,68.46760933,0.9998494266
200,66.98847557,0.9998540846
201,71.37195768,0.9998587196
202,66.18354351,0.9998629586
203,54.91757834,0.9998667352
204,61.23166314,0.9998706414
205,63.36533091,0.9998748454
206,63.66271769,0.9998788254
207,69.04039903,0.9998832474
208,55.08966537,0.999886825
209,55.71766144,0.9998903083
210,67.39010794,0.9998945128
211,69.76921943,0.9998989102
212,54.96206586,0.9999023673
213,54.94972797,0.9999057887
214,63.00244476,0.9999096711
215,55.23549617,0.9999129904
216,46.79424446,0.9999159159
217,46.00483604,0.9999187509
218,54.59153602,0.9999220315
219,51.31196556,0.9999251805
220,42.29142361,0.9999277219
221,43.5421564,0.9999303385
222,41.72384987,0.9999329097
223,36.68526804,0.9999350675
224,33.61903516,0.9999371135
225,32.37080889,0.9999390092
226,27.20210116,0.9999406231
227,31.47001739,0.9999424821
228,29.94618209,0.9999442587
229,26.68607421,0.9999459032
230,24.54475479,0.9999472905
231,25.44421824,0.9999487741
232,25.56299082,0.9999502711
233,26.70007773,0.9999518177
234,28.1234757,0.9999535149
235,29.04633303,0.9999551567
236,29.19578936,0.9999568515
237,26.24227539,0.9999583917
238,24.37167705,0.9999597506
