freq_radius,radial_mean_power,cumulative_energy_fraction
0,9281267680,0.8426991302
1,21865058.45,0.8585811553
2,13897492.76,0.878770475
3,9495893.004,0.8960141988
4,6650203.301,0.9105056344
5,1556602.541,0.9161589466
6,790731.4713,0.918743567
7,518436.8206,0.9210030149
8,422066.1059,0.9231490348
9,621561.5313,0.926309401
10,372405.3916,0.9286086718
11,257801.5388,0.930106737
12,139820.6213,0.9311223458
13,160066.4309,0.9324594133
14,120304.2628,0.9334206469
15,111806.7655,0.9343951979
16,98038.74457,0.9352497415
17,81853.35645,0.9361118456
18,67485.30101,0.9368471306
19,73209.55299,0.937644784
20,90030.71704,0.9386584098
21,83830.8586,0.939754463
22,77005.91531,0.9407053486
23,75574.34569,0.9416660041
24,49807.70246,0.9423533975
25,44067.13667,0.9430255833
26,34707.96689,0.9435802181
27,28972.53438,0.9440116334
28,35931.694,0.9445597239
29,30738.11925,0.9450955745
30,28055.8397,0.9455744762
31,27073.19732,0.9460857672
32,26508.46765,0.9465671381
33,29223.84614,0.9471190452
34,24384.02974,0.9476238292
35,17981.25894,0.9479634143
36,21318.67272,0.9484124837
37,23012.44736,0.9488888739
38,20231.57364,0.9493591305
39,18490.10304,0.9497754783
40,17479.00038,0.9501500145
41,24510.81962,0.9507553442
42,20820.76201,0.9512544192
43,17092.11453,0.9517013636
44,17108.87231,0.9521301053
45,15869.66167,0.9525220293
46,15016.21824,0.9529255981
47,14186.93727,0.953301727
48,14002.611,0.9536983965
49,12946.59811,0.9540557471
50,14085.81566,0.9544854681
51,12727.34645,0.9548598787
52,12880.50132,0.9552247608
53,14061.05505,0.9556639398
54,13433.4,0.956059121
55,11316.79286,0.956445467
56,10070.72596,0.9567600132
57,11398.60448,0.9571325931
58,9472.556833,0.9574456577
59,11739.76429,0.9578379162
60,10113.92435,0.9581978901
61,10620.06862,0.9585720216
62,10520.64621,0.9589464716
63,8336.322588,0.9592492324
64,9009.928684,0.9595666408
65,8843.897677,0.9599135315
66,9733.458315,0.9602670339
67,9139.847755,0.9606188941
68,9263.533536,0.9609990663
69,7941.411578,0.9612990214
70,8249.235315,0.9616345712
71,8887.013619,0.9619799255
72,7342.833812,0.9622999404
73,9061.183258,0.9626816808
74,7995.557728,0.9630185272
75,8188.608781,0.9633724287
76,7554.854632,0.9637016838
77,7422.49696,0.9640359535
78,7902.460852,0.964377488
79,7077.153936,0.9646962052
80,6894.294435,0.9650217108
81,7282.29469,0.9653523113
82,8158.200578,0.9657493423
83,7601.847744,0.9660972107
84,7420.320603,0.9664583316
85,7616.738045,0.9668373103
86,6403.777335,0.9671536112
87,6518.269667,0.9674803018
88,6182.545648,0.9677744484
89,5664.752961,0.9680830495
90,6117.63194,0.9683896605
91,5611.04014,0.9686831085
92,6373.175941,0.9690187295
93,5876.320585,0.9693303195
94,5533.220691,0.9696357742
95,5663.33563,0.969934014
96,5441.043044,0.970230428
97,5430.184189,0.9705420276
98,5106.596412,0.970823931
99,5012.732339,0.9711170376
100,4533.405073,0.9713672987
101,4761.076811,0.9716543361
102,5010.923011,0.971947337
103,4971.338173,0.9722289956
104,5428.667271,0.9725602242
105,4797.854211,0.9728407663
106,4331.724561,0.9731145045
107,4395.78076,0.9733827118
108,3745.691634,0.9736085333
109,3880.955849,0.9738495572
110,4445.860949,0.9741272787
111,4552.940126,0.9744249176
112,4674.973051,0.9747220448
113,4700.955672,0.9750259453
114,4701.388348,0.9753435334
115,4480.691209,0.9756364492
116,4151.21394,0.9759063184
117,3941.575768,0.9761697167
118,3562.924373,0.9764129874
119,3642.097547,0.9766629866
120,3749.635831,0.9769190056
121,3885.496045,0.9771786563
122,3763.978671,0.9774424896
123,3845.456273,0.9777301899
124,3696.25541,0.9779825642
125,3653.243276,0.9782505768
126,3688.636825,0.9785037705
127,3288.95453,0.9787474468
128,3520.885095,0.9790108641
129,3392.80975,0.9792536095
130,3292.743773,0.9795047418
131,3110.830025,0.9797329613
132,3106.2124,0.9799766359
133,2970.212906,0.9802042479
134,2906.184608,0.9804153432
135,2792.96492,0.9806385016
136,2555.916771,0.9808362221
137,2794.533494,0.981057476
138,2790.82465,0.9812764092
139,3021.668417,0.9815101592
140,2810.353881,0.9817428724
141,2804.379071,0.9819649059
142,2691.533852,0.9821838701
143,2624.880794,0.9823983652
144,2507.188072,0.9826059746
145,2554.055133,0.9828230304
146,2697.83727,0.9830454468
147,2590.184992,0.9832599288
148,2496.597521,0.9834757284
149,2610.687728,0.9836994935
150,2509.469496,0.9839154943
151,2391.919584,0.9841152962
152,2425.281,0.9843302164
153,2611.636706,0.9845550112
154,2365.830053,0.9847698184
155,2247.404304,0.9849657109
156,2276.000151,0.9851674022
157,2426.228977,0.9853920992
158,2217.774404,0.985585409
159,2257.442484,0.9857903751
160,2164.375437,0.9859876771
161,1958.676863,0.9861754755
162,2122.928498,0.9863728543
163,2079.823377,0.986560938
164,1945.366607,0.9867446341
165,1888.453701,0.9869215844
166,1868.959543,0.9871048534
167,1887.645576,0.9872810424
168,1995.342093,0.9874665589
169,1961.40098,0.987661742
170,1960.3994,0.9878532655
171,1777.244329,0.9880275409
172,1757.95917,0.9881973714
173,1730.952025,0.9883721367
174,1648.358908,0.9885379642
175,1726.332014,0.9887072472
176,1595.612093,0.9888683479
177,1645.006084,0.9890302536
178,1492.613125,0.9891863759
179,1587.467018,0.9893501134
180,1420.663822,0.9894930345
181,1502.23762,0.9896490724
182,1591.793597,0.9898178811
183,1404.088384,0.9899678036
184,1453.51229,0.9901150851
185,1437.492141,0.9902675303
186,1492.497262,0.990430145
187,1350.506972,0.9905738559
188,1458.385835,0.9907306355
189,1476.669938,0.9908872354
190,1357.213637,0.9910341245
191,1341.371627,0.9911836836
192,1329.993693,0.9913256947
193,1220.997515,0.9914640496
194,1360.447298,0.9916117828
195,1371.691971,0.9917672134
196,1260.065003,0.9919099951
197,1141.352946,0.9920368382
198,1250.948586,0.9921799499
199,1284.022205,0.992323581
200,1155.50023,0.9924595501
201,1138.090445,0.9925872706
202,1021.744808,0.9927023054
203,1012.711096,0.9928244148
204,1044.419935,0.9929446577
205,1064.371249,0.993072223
206,1202.228093,0.9932101976
207,1126.333571,0.9933435528
208,1182.98679,0.9934857637
209,1093.052322,0.9936151785
210,1071.077326,0.9937427694
211,1026.152137,0.9938683629
