freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.368659838e+10,0.8121277276
1,93903453.02,0.8567036527
2,31781900.38,0.886877359
3,8061770.277,0.8964446554
4,7756485.991,0.9074906562
5,4089765.315,0.9171977045
6,2532979.813,0.922608524
7,1306170.202,0.9263287543
8,1133494.47,0.9300952393
9,1700515.152,0.9357458755
10,629545.1335,0.9382860562
11,366339.6313,0.9396772662
12,428602.7852,0.9417118416
13,321439.5821,0.9434665946
14,297561.442,0.9450203696
15,260390.1231,0.9465036545
16,326604.0151,0.9483641197
17,301971.9692,0.950442636
18,150370.6936,0.9515133495
19,221857.0595,0.9530930811
20,250159.1363,0.9549337127
21,107217.0456,0.9558498386
22,187080.5769,0.9573595586
23,152990.8181,0.9586304903
24,119987.1672,0.9597126895
25,92002.79174,0.9606298368
26,82012.32718,0.9614863235
27,76044.86118,0.962226342
28,98639.56785,0.9632096492
29,79461.1244,0.964114933
30,67058.48651,0.9648629999
31,68254.28151,0.9657054071
32,63527.63062,0.9664593205
33,56150.85399,0.9671523449
34,41518.09363,0.9677140405
35,48236.36035,0.9683093827
36,45229.83532,0.9689320296
37,42255.80986,0.9695037058
38,32538.11551,0.9699979723
39,34934.0098,0.9705120502
40,38728.62359,0.9710543917
41,39369.66846,0.9716898097
42,31452.90889,0.9721825221
43,30054.21163,0.9726961241
44,32327.58337,0.9732255572
45,23619.46429,0.9736067703
46,23127.41938,0.9740129776
47,33692.23622,0.9745967472
48,20943.714,0.9749844841
49,21854.62454,0.9753787105
50,21187.13776,0.9758011265
51,20631.27516,0.9761977696
52,17231.06763,0.9765167732
53,15447.85241,0.976832096
54,17089.05712,0.9771606388
55,15537.04698,0.977507284
56,14960.64555,0.9778126619
57,14223.37497,0.9781164942
58,13624.52671,0.978410768
59,11974.38137,0.9786722427
60,12224.29224,0.9789565831
61,11335.33896,0.9792175558
62,11158.48356,0.9794771052
63,14222.31993,0.9798146717
64,11607.24895,0.9800819045
65,10033.15398,0.9803390921
66,11681.62125,0.9806163551
67,12375.91383,0.9809277217
68,9828.367413,0.9811913236
69,8087.46291,0.9813909576
70,8825.375317,0.9816255641
71,9181.791578,0.9818587488
72,8849.151093,0.9821107901
73,8491.812062,0.9823445915
74,10566.12874,0.9826355042
75,8615.439952,0.982878844
76,7581.416388,0.9830947777
77,6672.262053,0.9832911515
78,8591.78721,0.9835338233
79,7875.541879,0.9837656113
80,7088.159697,0.9839843198
81,7117.915286,0.9841954993
82,6778.804128,0.9844110982
83,6264.889632,0.9845984565
84,5821.436478,0.9847836065
85,7043.732293,0.9850126469
86,6360.340177,0.985217956
87,5646.123668,0.9854028906
88,4856.800436,0.9855539022
89,5845.468053,0.9857620153
90,5276.947015,0.9859348578
91,4857.775488,0.9861008887
92,5163.470987,0.9862785932
93,4713.528733,0.9864419315
94,4828.731346,0.9866161384
95,4994.305048,0.986788021
96,4726.048274,0.9869562799
97,4591.364423,0.9871284619
98,3932.359373,0.9872703303
99,4621.288653,0.987446925
100,4216.065631,0.9875990287
101,4124.25997,0.9877615248
102,4373.365446,0.9879286456
103,3695.007827,0.988065459
104,4460.991669,0.98824334
105,3826.598881,0.988389567
106,3228.495493,0.9885229002
107,3966.436628,0.9886810609
108,3663.359231,0.9888253975
109,3181.478222,0.9889545235
110,3734.284828,0.9891069726
111,3124.307071,0.9892404522
112,2918.440894,0.9893616732
113,2961.196321,0.9894867786
114,3031.727963,0.9896206204
115,3349.259181,0.9897637107
116,2850.426742,0.9898848128
117,2823.484016,0.990008121
118,3015.081144,0.9901426592
119,2687.110586,0.9902632006
120,2550.622485,0.9903770139
121,2515.285794,0.9904868623
122,2410.158315,0.9905972681
123,2660.474075,0.9907273494
124,2503.544019,0.990839062
125,2287.91494,0.9909487552
126,2269.404548,0.9910505587
127,2254.196544,0.9911597054
128,2157.754008,0.9912652068
129,2217.215597,0.9913688791
130,2254.870614,0.9914812697
131,2234.701189,0.9915884116
132,2046.865932,0.9916933494
133,2177.153282,0.991802383
134,2099.790991,0.99190206
135,1973.269404,0.9920050981
136,1701.664833,0.9920911266
137,1930.1645,0.9921909977
138,1904.669197,0.9922886454
139,2132.409562,0.9923964504
140,1727.722212,0.9924899474
141,1709.100431,0.9925783801
142,1876.94514,0.9926781704
143,1739.995567,0.9927710926
144,1622.934168,0.9928589189
145,1622.039883,0.9929490067
146,1662.424257,0.9930385755
147,1563.003306,0.9931231586
148,1561.297264,0.9932113551
149,1631.857098,0.9933027628
150,1518.566511,0.9933881851
151,1490.058897,0.993469528
152,1347.428689,0.9935475621
153,1386.732369,0.9936255685
154,1382.161304,0.9937075824
155,1421.229375,0.9937885412
156,1255.27503,0.9938612384
157,1183.761056,0.9939328846
158,1342.283407,0.9940093463
159,1378.919561,0.9940911679
160,1218.332626,0.9941637498
161,1295.868578,0.9942449494
162,1382.408924,0.9943289466
163,1189.912423,0.9943992706
164,1260.131471,0.9944770345
165,1213.141252,0.9945513227
166,1112.212848,0.9946225982
167,1112.585931,0.9946904647
168,1140.690849,0.9947597749
169,1002.545277,0.9948249742
170,1063.664829,0.9948928861
171,1080.123314,0.9949621052
172,1055.961025,0.9950287734
173,1048.482623,0.9950979556
174,1083.528703,0.9951691932
175,1005.217533,0.995233612
176,1000.718827,0.9952996426
177,970.1685443,0.9953620456
178,963.8178123,0.9954279291
179,980.2478655,0.995494005
180,979.3554347,0.9955583935
181,867.1997128,0.9956172608
182,837.7207392,0.99567532
183,914.8465546,0.9957391588
184,931.3290291,0.9958008319
185,880.8092377,0.9958618774
186,840.9795281,0.9959217593
187,888.4949167,0.9959835483
188,877.6586089,0.9960452087
189,860.0267923,0.9961048138
190,887.1230561,0.9961675602
191,806.3887358,0.9962263189
192,760.4684136,0.996279385
193,792.6192974,0.9963380809
194,722.0056143,0.9963893199
195,738.342755,0.9964439965
196,779.6123129,0.9965017292
197,752.7876799,0.9965564035
198,672.9277139,0.996606715
199,706.8842248,0.9966583909
200,676.0934321,0.9967103834
201,678.8305903,0.9967601695
202,704.7807873,0.9968120262
203,697.0512141,0.9968669539
204,705.1138184,0.9969200066
205,670.1596837,0.9969724971
206,639.7086821,0.9970204769
207,629.5651483,0.9970691901
208,606.0957028,0.9971168067
209,651.7566049,0.997167237
210,598.4838124,0.9972138294
211,565.8479039,0.9972590898
212,592.7866259,0.9973060829
213,629.6034238,0.9973562935
214,623.161983,0.9974059903
215,656.1519736,0.9974575395
216,656.7831288,0.9975114765
217,585.4604346,0.9975592783
218,609.4212481,0.9976083133
219,608.4844475,0.9976582839
220,562.8692027,0.9977045084
221,549.265452,0.9977500069
222,590.4492044,0.9977998978
223,520.2735229,0.9978423772
224,533.4831731,0.9978877079
225,574.4418446,0.9979352919
226,532.1314612,0.9979802551
227,534.3306632,0.9980251505
228,505.0148068,0.9980686616
229,479.1348172,0.9981111938
230,506.351455,0.9981532577
