freq_radius,radial_mean_power,cumulative_energy_fraction
0,458397360.7,0.576363699
1,17219503.52,0.749570573
2,6832738.199,0.887028337
3,926773.6081,0.910333823
4,532240.5282,0.9263948642
5,388134.0398,0.9459156023
6,160842.7781,0.9531960582
7,86217.00487,0.9583994758
8,87317.61015,0.9645476247
9,50122.30946,0.9680768031
10,20755.19788,0.9698513616
11,18971.7896,0.9713780232
12,27174.26829,0.9741114179
13,18473.44699,0.9762483478
14,11405.49881,0.9775103249
15,9676.864227,0.9786783721
16,7830.207628,0.9796235184
17,6918.276611,0.9806325631
18,6383.220491,0.9815956725
19,5767.350265,0.9824658585
20,4522.272077,0.9831709295
21,3362.616428,0.9837797571
22,3392.948833,0.9843599478
23,3672.87627,0.985006478
24,2674.135988,0.9855175494
25,2651.495798,0.9860776355
26,2064.244012,0.9865344377
27,2151.900811,0.9869781695
28,2060.786623,0.9874134777
29,1649.571914,0.9878117013
30,1574.291035,0.9881838336
31,1568.771059,0.9885941109
32,1349.120331,0.9889333728
33,1526.704397,0.9893326485
34,1101.417526,0.989648397
35,1007.392158,0.989911858
36,909.0350555,0.9901770273
37,914.4989428,0.990439191
38,888.9084925,0.9907253132
39,793.6677317,0.9909727959
40,777.2484069,0.9912034315
41,771.0500909,0.991467129
42,672.7165292,0.9916904299
43,609.076424,0.9919109859
44,629.7694359,0.9921295331
45,578.3626972,0.9923273319
46,497.2397528,0.9925123917
47,477.8085734,0.9926878166
48,446.6785058,0.9928630449
49,422.4519425,0.9930245199
50,318.1175226,0.9931589144
51,380.7658859,0.9933140307
52,388.699544,0.9934665143
53,339.3756138,0.9936133033
54,345.856232,0.9937541982
55,301.441737,0.9938967083
56,282.5690869,0.994018927
57,275.4003661,0.9941435854
58,268.6314039,0.9942665309
59,235.3131867,0.994375411
60,213.6223694,0.9944807011
61,213.5856877,0.9945848988
62,210.7521604,0.9946887742
63,198.9775556,0.9947888476
64,197.4597845,0.9948851783
65,177.071029,0.9949813585
66,188.5698007,0.9950761975
67,177.208796,0.99517067
68,172.9523975,0.9952689623
69,158.6345233,0.995351937
70,156.7148113,0.995440213
71,160.5690093,0.9955266222
72,171.5530859,0.9956301589
73,147.9520597,0.9957164753
74,139.2685663,0.9957977257
75,143.2324781,0.9958834498
76,142.0662244,0.9959691905
77,135.3181609,0.9960535807
78,112.732048,0.9961210504
79,121.3935019,0.9961967567
80,117.1034741,0.9962733212
81,124.298901,0.9963514645
82,108.0535246,0.9964242858
83,112.6310118,0.9964956603
84,115.7415611,0.9965736628
85,104.6470499,0.9966457672
86,91.7416537,0.9967085181
87,100.032554,0.9967779462
88,98.63300885,0.9968429304
89,92.30080278,0.9969125628
90,93.19774535,0.9969772471
91,74.53636714,0.9970312287
92,85.19793465,0.9970933601
93,79.11989154,0.997151457
94,83.80344574,0.9972155219
95,77.73756114,0.9972722128
96,74.92119231,0.9973287339
97,76.94658574,0.9973898789
98,78.40233051,0.9974498148
99,67.96446867,0.9975048477
100,73.16548022,0.9975607802
101,72.80478386,0.9976215632
102,68.97113051,0.9976774113
103,66.27267679,0.9977294077
104,63.45167547,0.9977830203
105,73.71524567,0.9978427098
106,64.94455434,0.9978995435
107,63.78694307,0.9979534394
108,63.6751094,0.9980066003
109,63.00976859,0.9980607902
110,57.702708,0.9981107062
111,56.70877168,0.998162044
112,58.29499493,0.9982133518
113,58.69316881,0.9982658957
114,55.190416,0.9983175244
115,58.25302316,0.9983702602
116,52.38477227,0.99841742
117,55.7699537,0.9984690299
118,55.36007476,0.9985213741
119,54.21817872,0.9985729114
120,53.22371387,0.9986232357
121,54.22406379,0.9986734149
122,53.5192305,0.9987253645
123,48.30653583,0.9987754126
124,51.77809043,0.99882437
125,49.53986489,0.9988746993
126,46.21420154,0.9989186283
127,47.47573264,0.9989673381
128,49.33368714,0.9990184504
129,50.67913566,0.9990686627
130,46.6786122,0.9991179632
131,49.06203932,0.999167807
132,50.31028041,0.9992224614
133,44.93300995,0.9992701443
134,43.92011901,0.9993143225
135,42.95775329,0.9993618537
136,39.87293963,0.9994045679
137,44.20247738,0.9994530317
138,30.51905999,0.9994836534
139,28.51827561,0.9995084666
140,29.71375435,0.9995347684
141,27.65629207,0.9995561889
142,27.37086734,0.9995772506
143,24.97952174,0.9995955928
144,25.24371954,0.9996136212
145,26.33629644,0.9996319
146,27.02220269,0.9996488881
147,25.68335989,0.9996649054
148,25.94520138,0.9996810859
149,26.57815145,0.9996969929
150,28.89083181,0.9997134121
151,28.58111542,0.9997279304
152,24.64395906,0.99974206
153,28.22508787,0.9997559715
154,29.51640265,0.9997709649
155,27.19657794,0.9997839592
156,25.19833186,0.9997952383
157,25.96681874,0.9998072533
158,24.27509256,0.9998171424
159,27.09951108,0.999829
160,25.77339974,0.9998393699
161,23.41317635,0.9998486725
162,25.35210234,0.9998579804
163,27.07860141,0.9998672412
164,24.33254847,0.9998761748
165,24.40697839,0.9998841536
166,24.88887852,0.9998925404
167,22.11451446,0.9998991025
168,26.02321059,0.9999060392
169,26.19875489,0.9999146038
170,24.34093833,0.9999206024
171,26.10366105,0.9999278231
172,24.8358967,0.9999336938
173,23.77512029,0.9999391942
174,24.62149218,0.9999451381
175,20.77788904,0.9999490046
176,24.89759196,0.9999547647
177,26.2386187,0.9999592515
178,28.42675852,0.9999645413
179,25.19783652,0.9999685967
180,22.65483203,0.9999715591
181,27.88572658,0.9999763275
182,18.27373439,0.9999784414
183,21.92020942,0.9999815282
184,20.61940955,0.9999836023
185,27.60217265,0.9999861011
186,31.73126819,0.9999894524
187,18.71720138,0.9999904879
188,22.44291394,0.9999926325
189,22.08071041,0.999993521
190,22.95649568,0.9999950219
191,38.40535294,0.9999959877
192,20.76916336,0.9999964055
193,19.86361472,0.999996905
194,95.27242081,0.9999973842
195,2080.433158,1
