freq_radius,radial_mean_power,cumulative_energy_fraction
0,4401366722,0.8768860508
1,31065094.03,0.9263989396
2,8255230.99,0.9527140271
3,911116.8589,0.9563444706
4,1058928.481,0.9614077684
5,810133.8659,0.9678639002
6,325783.2266,0.9702005134
7,246792.1194,0.972560601
8,131118.777,0.9740234804
9,164052.1501,0.9758537943
10,166601.2716,0.9781108528
11,79921.0502,0.9791299058
12,113805.7825,0.9809437915
13,72389.89015,0.9822706401
14,55479.09415,0.9832433148
15,47231.55296,0.9841466711
16,35292.30824,0.984821676
17,42411.26234,0.985801831
18,28003.70666,0.9864713338
19,24120.8405,0.9870480064
20,21737.65048,0.9875850257
21,21297.61293,0.9881960367
22,18035.11591,0.9886847042
23,14008.55504,0.9890754344
24,13263.34469,0.9894770885
25,10163.75109,0.9898172764
26,10321.23742,0.990179186
27,9322.07784,0.9904837736
28,8744.2693,0.9907764504
29,7801.184404,0.9910748632
30,6601.628538,0.9913221293
31,6470.039239,0.9915902472
32,5751.173192,0.9918194089
33,5553.971812,0.9920495651
34,4940.067947,0.9922739653
35,5456.842295,0.9925000965
36,4620.088244,0.9927136436
37,5066.561368,0.9929437898
38,4265.669439,0.9931613517
39,3995.189426,0.9933587506
40,3792.857031,0.9935370845
41,3367.847504,0.9937195904
42,3108.662199,0.9938830962
43,2998.238232,0.9940551302
44,3333.293179,0.9942384199
45,3169.565387,0.9944101808
46,2817.784745,0.9945763518
47,2588.993483,0.9947269672
48,2725.04624,0.9948963557
49,2290.497718,0.9950350821
50,2171.51509,0.9951804464
51,2206.363591,0.9953228686
52,2276.054866,0.9954643479
53,2019.652301,0.9956027653
54,2109.694782,0.9957389475
55,2145.407671,0.9958996613
56,1916.025145,0.9960309766
57,1692.492326,0.9961523671
58,1654.494082,0.9962723508
59,1451.332743,0.9963787579
60,1458.056358,0.9964926296
61,1254.984134,0.9965896416
62,1201.292733,0.9966834606
63,1098.955586,0.9967710387
64,1106.799571,0.9968565959
65,1042.327744,0.9969463065
66,925.9065546,0.9970200939
67,903.5990188,0.9970964243
68,892.41777,0.9971767884
69,784.3408423,0.9972417945
70,879.590848,0.9973203025
71,877.4301112,0.9973951215
72,713.838012,0.9974633863
73,687.6030892,0.9975269503
74,671.7730848,0.997589051
75,587.9396512,0.9976448075
76,535.3259966,0.997696001
77,552.677899,0.9977506157
78,462.5913029,0.9977944849
79,445.4286134,0.9978385014
80,460.4887456,0.9978862079
81,424.5280848,0.9979284974
82,437.1250731,0.9979751769
83,421.130414,0.9980174635
84,435.2919979,0.9980639472
85,415.082179,0.9981092652
86,408.2785893,0.9981535149
87,390.4046719,0.9981964498
88,378.2606657,0.9982359389
89,340.4697226,0.9982766381
90,340.615,0.9983140973
91,330.0296108,0.9983519704
92,310.9466873,0.9983879014
93,298.1426515,0.9984225905
94,303.6078881,0.9984593671
95,302.2664856,0.9984942951
96,294.8362865,0.9985295393
97,298.6685313,0.9985671458
98,273.0640209,0.9986002226
99,263.7616168,0.9986340644
100,282.5570938,0.9986682911
101,261.1907842,0.9987028438
102,275.8503376,0.9987382366
103,260.1775799,0.9987705818
104,261.8523956,0.9988056393
105,237.5405862,0.9988361168
106,219.8359856,0.9988666002
107,227.308034,0.9988970329
108,227.4779093,0.9989271257
109,254.7650179,0.9989618434
110,258.3899789,0.9989972611
111,247.5997192,0.9990327782
112,252.6206762,0.9990680091
113,233.5844497,0.9991011435
114,213.8906817,0.9991328479
115,207.140118,0.9991625613
116,204.173719,0.9991916865
117,190.7150298,0.9992196517
118,189.3706621,0.9992480235
119,195.4220333,0.9992774576
120,190.7794231,0.9993060404
121,166.6319746,0.9993304743
122,164.9844992,0.9993558498
123,161.4512043,0.9993823546
124,167.4072885,0.9994074358
