freq_radius,radial_mean_power,cumulative_energy_fraction
0,8360980038,0.7034057204
1,77595880.07,0.7556305895
2,34058321.46,0.8014755847
3,18861455.94,0.8332117112
4,8149434.497,0.8496663148
5,6922569.578,0.8729620291
6,4938554.101,0.887919254
7,2594218.79,0.8983952795
8,1691622.58,0.9063649472
9,783242.0659,0.9100550013
10,1041248.853,0.9160117895
11,856778.4649,0.9206249358
12,588498.2199,0.9245857443
13,521992.5285,0.9286259253
14,523962.923,0.9325050339
15,306507.2434,0.9349805211
16,303839.9737,0.9374344663
17,319986.4588,0.9405572241
18,237483.1434,0.9429547469
19,242689.935,0.9454048351
20,197452.8541,0.9474646766
21,168113.1632,0.9495013103
22,142049.1521,0.9511265831
23,115348.8218,0.9524851777
24,91018.18021,0.9536490906
25,117075.3755,0.9553038069
26,84324.27324,0.95655238
27,78649.06755,0.9576375209
28,79995.19799,0.9587681546
29,68264.0809,0.959870816
30,64406.30854,0.9608894894
31,48423.93897,0.9617368576
32,59432.34072,0.9627368611
33,43308.90864,0.9634947217
34,49344.91944,0.9644412334
35,40323.72913,0.9651468564
36,40555.81176,0.9659384272
37,42479.72646,0.966753254
38,41774.4605,0.9676529577
39,29762.76424,0.9682739321
40,34087.10678,0.9689507173
41,29379.56187,0.969623017
42,31733.7451,0.9703278301
43,26840.46804,0.9709781563
44,23026.14481,0.971512818
45,21177.83936,0.9719974356
46,19410.00724,0.9724807905
47,20895.77127,0.9729941126
48,20069.08588,0.9735208946
49,18927.04023,0.9740049611
50,18577.64943,0.9745301055
51,15503.28647,0.9749526938
52,14728.42906,0.9753392919
53,14106.50222,0.9757475422
54,14041.89689,0.976130296
55,11926.15911,0.9765075529
56,12576.62633,0.9768715276
57,11801.15551,0.9772289451
58,13231.01802,0.9776341208
59,11490.92383,0.9779898761
60,9663.838153,0.9783085779
61,11590.15807,0.978686907
62,10861.53936,0.9790451075
63,9145.262259,0.9793528623
64,10612.14148,0.9796992668
65,9478.71657,0.980043761
66,9464.938293,0.9803622735
67,8849.918825,0.9806779585
68,7967.224128,0.9809809247
69,7683.534148,0.9812498322
70,6940.208211,0.981511409
71,8057.13297,0.9818015259
72,6474.414237,0.982062977
73,7327.859002,0.9823490282
74,5970.141489,0.9825820794
75,7216.676531,0.9828710761
76,6132.859935,0.9831187345
77,6016.192458,0.9833697798
78,5598.131608,0.9835939608
79,5303.650281,0.9838152729
80,4694.654866,0.9840206518
81,5378.23511,0.9842468861
82,5012.965594,0.984472938
83,4567.855239,0.9846666211
84,4989.833124,0.9848916299
85,4801.203633,0.9851129798
86,4937.669676,0.9853389596
87,3897.999274,0.9855199809
88,3868.367111,0.9856905136
89,3870.908049,0.9858859083
90,3940.982307,0.9860689256
91,3761.394225,0.9862511977
92,3683.914677,0.9864309549
93,3577.134431,0.9866067055
94,3366.806846,0.9867789203
95,3165.495628,0.9869333811
96,2926.344522,0.9870810964
97,2806.752566,0.9872303311
98,2946.407805,0.9873810422
99,3055.512325,0.9875465882
100,2940.474467,0.9876969957
101,2648.067773,0.9878449222
102,2852.923251,0.987999492
103,3092.122343,0.9881618187
104,2912.019649,0.98832645
105,2374.054869,0.9884550749
106,2428.591025,0.9885972791
107,2720.997225,0.9887511109
108,2399.956372,0.9888851774
109,2264.924854,0.9890155116
110,2342.843762,0.9891511181
111,2065.562785,0.9892762361
112,2248.538059,0.9894086541
113,2015.990841,0.9895294124
114,2147.099338,0.9896638045
115,2286.580338,0.9898023102
116,2133.804966,0.9899308438
117,2297.687527,0.9900731151
118,2173.951223,0.9902106511
119,1915.319979,0.9903324692
120,1868.167845,0.9904506597
121,1884.491986,0.9905673463
122,1820.242855,0.9906855675
123,1788.244717,0.9908095335
124,1649.338248,0.9909138796
125,1688.14353,0.9910286341
126,1735.998613,0.991139047
127,1616.485785,0.9912500183
128,1620.589055,0.991362362
129,1520.493596,0.9914631618
130,1491.574916,0.9915685697
131,1437.610462,0.9916662937
132,1475.148915,0.9917735193
133,1343.41838,0.9918689092
134,1629.484487,0.9919785794
135,1460.548858,0.9920867098
136,1474.51362,0.9921924005
137,1285.439609,0.9922867017
138,1255.605696,0.9923779691
139,1293.46805,0.9924706828
140,1214.936777,0.9925639002
141,1342.167311,0.992662363
142,1278.975769,0.9927587723
143,1121.188556,0.9928436649
144,1164.412262,0.9929330058
145,1074.18151,0.9930175925
146,1098.792518,0.9931015289
147,1138.89646,0.9931889121
148,990.5668457,0.9932682479
149,1080.56098,0.9933540643
150,1049.233431,0.9934377457
151,1030.983771,0.993517543
152,957.9424048,0.9935962001
153,957.4556809,0.9936725619
154,949.7883172,0.9937524671
155,1046.601036,0.9938369952
156,976.1450149,0.993917147
157,951.8811866,0.99399883
158,901.7137477,0.9940716563
159,916.759818,0.9941487829
160,902.041072,0.9942249748
161,889.7784235,0.9943040235
162,876.4679999,0.9943795301
163,822.5169149,0.9944484513
164,762.7723373,0.9945151898
165,819.7167339,0.9945863591
166,757.9203365,0.9946552237
167,748.0389925,0.994719918
168,769.8226574,0.9947862372
169,744.2177485,0.9948548585
170,719.7749223,0.994920015
171,716.4117114,0.9949851082
172,711.9715186,0.9950488395
173,719.8376488,0.9951161818
174,674.5080006,0.9951790564
175,716.8188598,0.9952441866
176,696.5196471,0.9953093474
177,662.0203446,0.9953697214
178,731.7289409,0.9954406385
179,685.6754783,0.9955061694
180,646.5929226,0.9955664419
181,669.0748386,0.9956308365
182,611.2578833,0.9956909007
183,585.9883473,0.9957488763
184,641.0396594,0.9958090626
185,572.698581,0.9958653379
186,592.7298623,0.9959251772
187,562.5433826,0.9959806439
188,574.4192222,0.9960378615
189,558.1119854,0.9960927035
190,536.1704788,0.9961464719
191,536.5829669,0.9962019069
192,573.1309079,0.9962586104
193,530.1312235,0.9963142709
194,546.6421759,0.9963692735
195,470.8025131,0.9964187048
196,480.4784803,0.996469152
197,522.6724534,0.996522974
198,501.4440265,0.9965761287
199,501.5497146,0.9966281131
200,478.4680197,0.9966802814
201,480.1989099,0.9967302145
202,445.6260319,0.9967767025
203,461.9803285,0.9968283168
204,454.2568412,0.9968767753
205,445.3534633,0.9969262322
206,457.3583829,0.9969748676
207,440.8650879,0.9970232327
208,434.4679461,0.997071627
209,411.6107973,0.9971167828
210,428.3215904,0.9971640601
211,414.3677837,0.9972110521
212,417.4681134,0.9972579744
213,442.928617,0.9973080564
214,437.7626845,0.9973575543
215,400.6933993,0.9974021865
216,401.5883135,0.9974489456
217,381.2060605,0.9974930749
218,396.5627307,0.9975383146
219,372.2513221,0.9975816578
