freq_radius,radial_mean_power,cumulative_energy_fraction
0,6.870684006e+10,0.8536975864
1,212969589.3,0.874867138
2,68584385.76,0.888501955
3,65860619.39,0.9048686084
4,39999359.44,0.9167966284
5,11497363.34,0.922510919
6,14367755.27,0.9289377296
7,9667501.734,0.9347035296
8,7330092.721,0.9398038983
9,5120300.142,0.9433666662
10,1964817.283,0.9450267697
11,2251289.651,0.9468170269
12,1234211.528,0.9480438548
13,1632346.678,0.9499098233
14,1993928.559,0.9520900234
15,1018705.42,0.9533051567
16,1637176.242,0.955258015
17,1366453.46,0.9572275192
18,902172.8517,0.9585726828
19,1042649.62,0.9601273008
20,1042522.773,0.9617335441
21,611322.3487,0.9628273414
22,513276.5921,0.9636946915
23,331063.1488,0.964270586
24,450802.5166,0.9651219867
25,424008.7475,0.9660070782
26,385755.8901,0.9668506641
27,378594.735,0.9676221403
28,391698.3783,0.9684397859
29,430710.1769,0.9694673063
30,491876.2962,0.9706163005
31,423920.5781,0.9717119002
32,479612.0562,0.9729037572
33,279282.1955,0.9736255469
34,280098.4584,0.9744190518
35,267447.8005,0.9751102562
36,326059.2681,0.9760501712
37,506021.5434,0.977483705
38,362475.876,0.9786366887
39,182783.0886,0.9791999265
40,202586.0244,0.97979398
41,118185.4303,0.9801934065
42,129015.6437,0.9806166111
43,82507.68611,0.9809118618
44,85672.21485,0.9812056628
45,81659.98087,0.9814816457
46,70833.23714,0.9817421608
47,82276.13917,0.9820406721
48,70366.33385,0.9823134591
49,85673.50916,0.9826370708
50,91265.92046,0.9830180945
51,98180.9266,0.9834133484
52,91896.87242,0.9837696022
53,59480.69529,0.984023839
54,76734.88897,0.9843327561
55,58556.79095,0.9846063266
56,59047.33466,0.9848587112
57,66164.84148,0.9851546718
58,51995.97408,0.9853898381
59,53237.71391,0.9856332665
60,46195.4541,0.9858582701
61,44317.1294,0.9860719223
62,45027.7611,0.9862912384
63,45914.47519,0.9865194374
64,53213.72404,0.98677598
65,40388.40675,0.9869927726
66,49486.35706,0.9872387242
67,52189.63791,0.9875136745
68,44369.4021,0.9877628619
69,51457.01656,0.9880288376
70,47357.97329,0.9882924557
71,37511.95354,0.988491944
72,34635.10796,0.9886985115
73,37591.43482,0.9889152374
74,80640.41343,0.9893801538
75,77570.55112,0.9898389374
76,24245.72915,0.9899835415
77,26448.19237,0.9901465393
78,20580.10602,0.9902682584
79,22617.66073,0.990407649
80,27971.3465,0.990588375
81,24366.36788,0.9907397538
82,19453.73298,0.990869314
83,16632.92071,0.9909734745
84,18264.75763,0.9910951163
85,15335.07982,0.9911995332
86,18174.39484,0.9913223797
87,17954.47377,0.9914455245
88,15553.96327,0.9915467934
89,14804.62736,0.9916571639
90,22377.56591,0.9918106454
91,16405.43527,0.9919280579
92,18237.37581,0.9920594879
93,13676.63844,0.99215873
