freq_radius,radial_mean_power,cumulative_energy_fraction
0,1.317938032e+10,0.8351949597
1,58493235.27,0.8648493162
2,15320016.66,0.8803829154
3,3110169.673,0.8843248276
4,2284459.565,0.8877992898
5,2448649.991,0.8940062588
6,1788957.906,0.8980875304
7,807055.3513,0.9005424509
8,1390869.134,0.9054783602
9,421668.4917,0.9069747752
10,613521.4584,0.9096185932
11,706374.5527,0.9124834828
12,506103.3408,0.9150492784
13,685553.1974,0.9190461654
14,617394.5332,0.9224891757
15,513848.7859,0.925615251
16,522974.0039,0.928796841
17,351115.102,0.9313779145
18,325495.2289,0.9338531627
19,297764.7954,0.9361175331
20,214789.1575,0.9378053561
21,222207.682,0.9398331063
22,223111.0716,0.9417559895
23,149768.3289,0.9430847322
24,168213.0237,0.9447050346
25,152421.1041,0.9463277683
26,150210.395,0.9480031182
27,126235.9219,0.9493150755
28,128279.7073,0.9506807906
29,91330.3909,0.9517920345
30,116268.4158,0.9531772345
31,133672.4132,0.9549392025
32,121212.6584,0.9564754841
33,64228.23429,0.9573220918
34,85080.30161,0.9585513885
35,153526.0412,0.9605750519
36,138577.5581,0.96261244
37,102547.4569,0.9640941138
38,89665.66458,0.9655487655
39,107464.0491,0.9672376803
40,109858.8885,0.9688806899
41,94081.09115,0.970502366
42,92704.49687,0.9720533153
43,89387.88705,0.9736847287
44,75285.83286,0.9750015148
45,50642.61406,0.9758744417
46,37748.09033,0.9765825172
47,38646.28506,0.9772976447
48,41450.16437,0.9781171914
49,41319.69572,0.9789132107
50,39193.73853,0.9797477539
51,38668.80334,0.9805417139
52,34401.66366,0.9812218987
53,32571.992,0.9819319597
54,30948.03735,0.9825673945
55,29580.75179,0.9832722335
56,24107.75064,0.9837977762
57,21568.51084,0.9842898333
58,22602.66413,0.9848112127
59,22479.72916,0.9853354547
60,20424.9843,0.9858428432
61,19397.55222,0.9863197918
62,17762.62193,0.9867610431
63,16270.05053,0.987173465
64,13740.32405,0.9875113132
65,13700.9002,0.9878863948
66,14103.12039,0.9882438882
67,14600.70806,0.9886362012
68,12200.96305,0.9889856837
69,11782.23461,0.9892962926
70,11245.17204,0.989615547
71,8427.126598,0.9898441154
72,9059.889675,0.9901197013
73,9007.834902,0.9903845704
74,9186.780629,0.9906547013
75,8682.766783,0.9909166148
76,8210.947905,0.9911663774
77,7647.201304,0.9914067457
78,8000.228779,0.9916480706
79,7001.971874,0.9918681579
80,7208.094124,0.9921056869
81,6042.919341,0.9922971608
82,5648.858749,0.9924890358
83,5505.659852,0.9926648819
84,5644.931075,0.9928566235
