freq_radius,radial_mean_power,cumulative_energy_fraction
0,1385158572,0.7509846505
1,28117078.66,0.872937443
2,4716523.862,0.9138515979
3,1529830.926,0.930440017
4,1105332.56,0.9448225629
5,510570.3131,0.9558950994
6,255050.3518,0.9608731578
7,292279.0476,0.9684794059
8,157170.7606,0.9732513061
9,120105.1929,0.9768978494
10,99708.40456,0.9805738219
11,84081.53767,0.9834913307
12,61293.61665,0.9861498316
13,51913.20218,0.9887392201
14,39882.31181,0.9906420263
15,23499.53711,0.9918651267
16,18249.10012,0.9928149531
17,16911.12344,0.9938785132
18,12425.20617,0.9946868948
19,9809.787157,0.9953251177
20,9900.972606,0.995990745
21,7185.547095,0.9965517334
22,4407.683023,0.9968767315
23,4260.867098,0.9972001446
24,3534.35843,0.9974914079
25,2904.093086,0.9977559235
26,2437.55284,0.9979885174
27,1953.050262,0.998162173
28,1933.049467,0.9983382424
29,1729.036721,0.9985182277
30,1784.56418,0.998700123
31,1392.049739,0.9988571049
32,1355.074702,0.9990040398
33,1100.054638,0.9991280933
34,835.6655177,0.999231393
35,607.1257752,0.9992998588
36,521.1564066,0.999365411
37,413.5004211,0.9994165253
38,281.6439678,0.9994556159
39,234.5705069,0.9994871555
40,226.7830266,0.9995161726
41,204.5061436,0.9995463309
42,145.1632966,0.9995671084
43,137.7001814,0.9995886094
44,100.7807057,0.99960369
45,123.4357192,0.9996218929
46,82.74381762,0.9996351717
47,78.27140918,0.999647563
48,74.30445266,0.999660132
49,62.44890971,0.9996704247
50,69.21473723,0.9996830334
51,53.3410935,0.9996924034
52,56.27898624,0.9997019233
53,49.02284246,0.9997110663
54,43.79673462,0.9997187597
55,37.37958981,0.9997263797
56,36.4000267,0.9997331684
57,31.18897008,0.9997392559
58,27.99813384,0.9997447813
59,26.79224452,0.9997501268
60,24.35277974,0.9997553024
61,25.44691768,0.9997606554
62,23.59283154,0.9997656696
63,22.81650965,0.9997706177
64,21.83596496,0.9997752111
65,19.41419195,0.9997797582
66,19.87359744,0.9997840681
67,19.05509753,0.9997884485
68,17.78926246,0.9997928079
