freq_radius,radial_mean_power,cumulative_energy_fraction
0,1007009714,0.793826129
1,3175238.453,0.8138504622
2,806100.4807,0.8240176511
3,538971.7163,0.8325150831
4,250059.7377,0.8372460155
5,260313.16,0.845454214
6,192969.4171,0.850930457
7,321182.5367,0.863083496
8,271287.1617,0.8750594191
9,210742.1716,0.8843625945
10,167024.2294,0.8933158322
11,129989.2642,0.8998739497
12,115056.7295,0.9071298907
13,106869.7517,0.9148804734
14,116046.4947,0.9229306689
15,112432.6581,0.9314392167
16,78164.95508,0.9373544931
17,92978.63406,0.9458567238
18,54294.58274,0.9509927765
19,40918.04941,0.9548634621
20,36521.71686,0.9584334324
21,31204.07168,0.9619755705
22,23781.41191,0.9645251483
23,27051.37983,0.9675105941
24,16478.15385,0.9694850338
25,13980.26747,0.971336503
26,14247.6405,0.9733132329
27,13843.87014,0.9751029859
28,9912.642931,0.9764157615
29,10472.66752,0.9780008381
30,8719.828324,0.9792931208
31,8251.206406,0.980646042
32,7733.965389,0.9818653796
33,6203.425124,0.9828825333
34,5280.558832,0.9838316213
35,4310.146142,0.9845383408
36,4552.035977,0.985370843
37,4025.56995,0.9860943687
38,4357.15393,0.9869736637
39,3236.544018,0.9876064031
40,2625.591343,0.9880948652
41,2386.732254,0.9886066229
42,2421.899996,0.9891106476
43,2215.428286,0.9896136174
44,2040.171882,0.9900574995
45,2283.269999,0.990547073
46,2430.930747,0.9911142988
47,1991.373449,0.9915726806
48,1750.699009,0.9920032645
49,1400.922867,0.9923389863
50,1271.942459,0.9926758843
51,1491.573149,0.993056846
52,1289.850166,0.9933740843
53,1147.832158,0.993685348
54,1158.5501,0.9939812525
55,1000.935623,0.9942779308
56,890.7321516,0.9945194754
57,873.1837476,0.9947672746
58,805.738491,0.9949984742
59,751.944946,0.9952166094
60,790.7149749,0.9954609511
61,808.190944,0.9957081449
62,889.2986651,0.9959829504
63,811.2075983,0.9962387405
64,576.6328474,0.9964151097
65,576.0132758,0.9966112686
66,516.3899736,0.9967740968
67,498.8385024,0.9969408282
68,508.3254886,0.9971219506
69,481.5562988,0.9972798687
70,438.1495824,0.997434605
71,366.3299498,0.997558202
72,301.1151302,0.9976721392
73,272.5090245,0.9977718152
74,310.409852,0.9978853543
75,263.3619439,0.9979841758
76,247.3588216,0.9980777725
77,246.3725245,0.9981741034
78,213.1050007,0.998254067
79,212.9844902,0.9983373433
80,176.2464742,0.9984095896
81,215.7877073,0.9984946423
82,196.6428846,0.9985777297
83,163.4672454,0.9986426757
84,175.8482219,0.9987169767
85,163.6085138,0.9987876537
86,148.5599247,0.9988513615
87,154.1674748,0.9989184462
88,138.5166288,0.9989756632
89,129.6998225,0.9990370086
90,117.4442551,0.9990881135
91,122.7554309,0.999143852
92,111.2899784,0.9991947354
93,124.4609938,0.9992520331
94,89.14380524,0.9992947586
95,83.30276457,0.9993328458
96,78.46953027,0.9993699603
97,73.15641046,0.9994064073
98,76.09149757,0.9994428769
99,75.32057537,0.9994811146
100,57.26046265,0.9995085587
101,56.29648946,0.9995380261
102,52.19085596,0.9995645216
103,50.88847167,0.9995895536
104,47.02066611,0.9996144622
105,44.721161,0.9996371656
106,43.91952723,0.9996612624
107,40.62088111,0.9996827808
108,38.32370327,0.9997028406
109,39.65756904,0.9997242239
110,36.8815358,0.9997442266
111,33.66942361,0.9997633366
112,31.22194175,0.9997805651
113,29.14829338,0.9997969252
114,26.58659308,0.9998125181
115,25.86598918,0.999827199
116,26.37754284,0.9998420871
117,25.84795454,0.9998570838
118,20.96357722,0.9998695111
119,19.94768684,0.999881399
120,20.08977979,0.9998933083
121,18.72734186,0.9999041737
122,17.86097754,0.9999150433
123,19.12234288,0.9999274644
124,18.78128279,0.999938598
125,17.05944244,0.9999494639
126,16.19520463,0.9999591155
127,14.79320595,0.9999686313
128,11.13692928,0.999975286
129,7.753570265,0.9999791489
130,5.704536327,0.9999820269
131,5.278962449,0.9999843905
132,4.857735233,0.9999866116
133,4.06964462,0.9999883183
134,4.033650945,0.9999898191
135,3.9899165,0.9999914546
136,2.966413907,0.9999925303
137,2.989035243,0.9999936236
138,2.42418842,0.9999944492
139,2.357453177,0.9999951925
140,2.118608232,0.9999959274
141,1.670585359,0.9999964067
142,1.643116196,0.9999969093
143,1.481962278,0.9999973299
144,1.242044055,0.9999976667
145,1.144648842,0.9999979879
146,0.9978887848,0.9999982333
147,0.8165709801,0.9999984419
148,0.9204365539,0.9999986538
149,0.7322085929,0.9999988223
150,0.6306944589,0.9999989655
151,0.6828149124,0.999999099
152,0.5156142829,0.9999992112
153,0.5043668552,0.9999993034
154,0.4878350809,0.9999994003
155,0.3970983297,0.9999994692
156,0.3847536075,0.9999995323
157,0.3528587726,0.9999995923
158,0.3673639996,0.9999996445
159,0.2444221462,0.9999996845
160,0.2949036786,0.9999997236
161,0.2402647137,0.9999997562
162,0.2742840588,0.9999997908
163,0.2475412515,0.9999998157
164,0.2237249593,0.9999998447
165,0.2228932819,0.9999998658
166,0.2208881391,0.9999998887
167,0.197761468,0.9999999056
168,0.1594484223,0.9999999161
169,0.1774383945,0.999999934
170,0.2010714481,0.9999999442
171,0.1669617405,0.9999999568
172,0.1557270647,0.9999999642
173,0.1924607762,0.9999999739
174,0.1474779933,0.9999999804
175,0.1437933577,0.999999984
176,0.1909186625,0.9999999919
177,0.1477469564,0.9999999942
178,0.1617372637,0.9999999978
179,0.1889244984,0.999999999
180,0.1483173643,0.9999999994
181,0.7375783426,1
