freq_radius,radial_mean_power,cumulative_energy_fraction
0,1386422801,0.7349669903
1,28259995.05,0.8548159339
2,4775082.385,0.8953176097
3,1553469.099,0.9117880328
4,1138836.5,0.9262772446
5,533875.3328,0.9375979109
6,269180.9754,0.9427350226
7,319117.4149,0.9508551695
8,174872.4214,0.9560465336
9,137172.5446,0.9601187173
10,116641.4908,0.9643234086
11,101263.9923,0.9677590447
12,75574.80346,0.9709641268
13,66473.88925,0.9742061122
14,51301.20348,0.9765993308
15,31979.44781,0.9782268059
16,26529.45451,0.9795769238
17,25064.83962,0.9811182517
18,19828.35498,0.9823796147
19,16800.1113,0.9834483387
20,17759.94282,0.9846157809
21,14819.90668,0.9857470869
22,9344.60895,0.9864207956
23,9256.325449,0.9871077673
24,7999.62731,0.9877523601
25,7436.154555,0.9884146221
26,6456.003998,0.9890169717
27,5946.258269,0.989533935
28,6211.543743,0.9900871335
29,6282.913703,0.9907266245
30,6875.431825,0.9914118444
31,6601.729897,0.9921397805
32,6289.495069,0.9928066148
33,6418.728399,0.9935143723
34,5100.926904,0.9941309049
35,3779.799469,0.9945476824
36,3846.603367,0.9950207656
37,3290.293028,0.9954184528
38,2438.469769,0.9957493777
39,2011.339633,0.9960138068
40,1952.707427,0.9962581056
41,1816.248883,0.9965199941
42,1518.334255,0.9967324865
43,1523.345363,0.9969650615
44,1126.923333,0.9971299444
45,1191.928357,0.9973018109
46,1050.375832,0.9974666304
47,1024.262717,0.9976251804
48,941.9077419,0.9977809688
49,852.4705174,0.9979183493
50,871.9459247,0.9980736598
51,785.1104484,0.9982085089
52,845.8746094,0.9983484137
53,635.6446368,0.9984643302
54,522.1047765,0.9985540059
55,389.984608,0.9986317392
56,343.1920537,0.9986943239
57,305.886417,0.9987526999
58,317.0922604,0.9988138869
59,300.8717801,0.998872582
60,278.0886184,0.9989303705
61,251.8899587,0.9989821806
62,238.3820535,0.9990317179
63,208.6459301,0.9990759606
64,186.3524697,0.9991142906
65,171.5481536,0.999153577
66,156.3157479,0.9991867233
67,166.4609504,0.9992241387
68,165.2205538,0.9992637277
69,158.4971813,0.9992986809
70,155.4569016,0.9993356008
71,142.7555488,0.9993679906
72,120.9468588,0.9993987663
73,110.4667426,0.9994259383
74,102.4779166,0.9994511453
75,101.1984575,0.9994766813
76,94.43313253,0.9995007104
77,97.60773074,0.9995263752
78,84.17580874,0.9995476158
79,79.09667971,0.9995684133
80,76.44373231,0.9995894859
81,59.98949719,0.9996053866
82,57.1455548,0.9996216241
83,48.47646377,0.999634576
84,48.86413896,0.9996484604
85,46.52995405,0.9996619776
86,44.51950427,0.9996748163
87,42.81298603,0.9996873445
88,37.06968373,0.9996976417
89,43.19688235,0.9997113814
90,36.49975007,0.9997220621
91,39.29561446,0.9997340609
