freq_radius,radial_mean_power,cumulative_energy_fraction
0,1008180582,0.789787435
1,3157545.85,0.8095758744
2,799875.7908,0.819601568
3,535949.073,0.8279985923
4,248266.3589,0.8326662716
5,258951.4181,0.8407805551
6,192403.4844,0.8462066492
7,319088.5257,0.8582050763
8,269481.3711,0.870027014
9,209179.3619,0.8792035496
10,165901.0254,0.8880410587
11,128752.3037,0.8944962167
12,113630.4187,0.9016174709
13,105523.0529,0.9092226083
14,114722.4506,0.9171312696
15,110726.4406,0.9254583828
16,76965.55008,0.9312465291
17,91535.3893,0.9395645291
18,53437.5652,0.9445879526
19,40498.02711,0.9483949888
20,35743.5146,0.9518670777
21,30961.731,0.9553597643
22,23302.57174,0.9578424094
23,26523.10973,0.9607512798
24,16184.47277,0.9626784232
25,13679.76065,0.9644787846
26,14320.08981,0.9664531626
27,13607.35432,0.9682013558
28,9681.28675,0.9694754873
29,10591.58633,0.9710685546
30,8838.113692,0.9723701899
31,8741.311374,0.9737945239
32,7889.593739,0.9750306322
33,6607.609708,0.9761072947
34,5726.145612,0.9771300439
35,5230.957177,0.9779823908
36,5248.052359,0.9789361924
37,4701.892771,0.9797759993
38,5220.934428,0.9808230316
39,3897.265923,0.9815801846
40,3144.847247,0.9821615959
41,2964.665244,0.982793304
42,2702.138683,0.9833521388
43,2840.245731,0.9839929355
44,2573.962048,0.9845494585
45,2834.541054,0.9851534399
46,2973.451842,0.9858429244
47,2624.953457,0.9864433737
48,2354.959712,0.9870189594
49,1995.975504,0.9874942954
50,1781.322128,0.9879631666
51,2045.784809,0.9884824171
52,1768.20499,0.9889145915
53,1431.914781,0.9893004673
54,1477.675945,0.9896755233
55,1337.979687,0.9900696258
56,1200.924142,0.9903932537
57,1111.122768,0.9907066086
58,1199.216185,0.991048565
59,1086.379892,0.9913617503
60,1100.726036,0.9916997663
61,1073.909024,0.992026182
62,1101.404539,0.9923644063
63,1167.615932,0.9927302806
64,895.845082,0.9930025737
65,865.4994822,0.9932954757
66,818.6180352,0.993551991
67,777.6549691,0.9938102912
68,806.6406729,0.9940959124
69,732.8526057,0.9943347385
70,713.1013098,0.9945850041
71,568.9766146,0.9947757741
72,493.5918688,0.9949613754
73,468.2259995,0.9951315699
74,542.4722227,0.9953287519
75,485.4419001,0.9955097676
76,454.4363696,0.9956806456
77,485.9412447,0.995869461
78,409.9429298,0.9960223239
79,403.8419135,0.9961792391
80,372.4480678,0.9963309585
81,434.1309935,0.996501003
82,393.8797599,0.9966663896
83,334.970539,0.9967986437
84,351.7208897,0.9969463281
85,322.0292929,0.9970845726
86,320.6282329,0.997221211
87,317.879899,0.9973586702
88,326.5119474,0.9974927003
89,299.2448199,0.9976333536
90,256.7603631,0.9977443832
91,238.0652774,0.9978518045
92,217.7990973,0.9979507637
93,236.7265296,0.9980590645
94,196.8039067,0.9981528011
95,180.5106494,0.9982348179
96,178.7607403,0.9983188403
97,188.2264403,0.9984120304
98,157.5580089,0.9984870743
99,162.0323745,0.998568819
100,136.3225224,0.9986337487
101,144.011427,0.9987086582
102,110.0135034,0.9987641596
103,119.9002173,0.9988227702
104,118.2202466,0.998885005
105,117.7649046,0.9989444169
106,109.0573256,0.9990038784
107,94.83191133,0.9990538008
108,88.03371372,0.9990995928
109,92.90311601,0.9991493732
110,87.95674661,0.9991967787
111,84.93050306,0.9992446823
112,81.63912493,0.9992894504
113,80.91818873,0.9993345838
114,72.13688345,0.9993766276
115,69.16317615,0.9994156379
116,67.12051695,0.9994532858
117,63.2489242,0.999489753
118,58.10629833,0.9995239835
119,57.59817294,0.9995580951
120,56.50206177,0.9995913805
121,46.94548807,0.9996184477
122,48.99653666,0.9996480793
123,48.82847343,0.9996795983
124,43.96305531,0.999705497
125,45.49648931,0.9997342949
126,40.94788651,0.9997585456
127,40.22917835,0.9997842616
128,37.79021123,0.9998067015
129,32.89940241,0.9998229899
130,30.54918794,0.9998383061
131,32.54247288,0.9998527861
132,31.03306973,0.9998668863
133,25.4319814,0.9998774853
134,27.2050942,0.9998875445
135,27.20881919,0.9998986282
136,24.81098207,0.999907569
137,21.47342926,0.9999153743
138,23.65898821,0.999923381
139,20.98182101,0.9999299556
140,17.77540758,0.9999360826
141,20.85072987,0.9999420282
142,19.83685662,0.9999480576
143,17.64370742,0.9999530334
144,18.79292172,0.9999580978
145,14.57253877,0.9999621618
146,14.71864219,0.9999657593
147,13.63747567,0.9999692207
148,12.34914249,0.9999720455
149,10.40693212,0.999974426
150,12.85911355,0.9999773272
151,10.83319677,0.9999794319
152,10.72985104,0.9999817518
153,9.811508175,0.999983535
154,9.807807377,0.9999854712
155,9.85723742,0.99998717
156,8.204041046,0.9999885068
157,6.886279442,0.999989672
158,6.48293072,0.9999905861
159,6.787369231,0.9999916921
160,9.073433863,0.9999928862
161,7.341284705,0.9999938754
162,5.667899127,0.9999945858
163,6.33441733,0.999995221
164,6.56061187,0.9999960639
165,6.979801888,0.99999672
166,5.200292763,0.9999972577
167,6.017221663,0.9999977668
168,5.839443876,0.9999981511
169,4.167904898,0.999998569
170,3.281281567,0.9999987335
171,4.403749256,0.9999990647
172,4.684067839,0.9999992849
173,4.000982889,0.9999994855
174,3.288567717,0.9999996297
175,4.530837876,0.9999997433
176,2.685313914,0.9999998527
177,2.21035615,0.9999998873
178,3.383112809,0.9999999615
179,5.790882992,0.9999999978
180,0.4300513853,0.9999999992
181,1.05565605,1
