freq_radius,radial_mean_power,cumulative_energy_fraction
0,485631123.8,0.5750164363
1,18571918,0.7509385728
2,7223823.408,0.8877936297
3,1033950.114,0.9122788112
4,572229.7628,0.9285401175
5,398645.7355,0.9474209379
6,160764.6776,0.9542737193
7,90791.59093,0.9594338489
8,91642.96087,0.9655104522
9,48342.01818,0.9687158841
10,20232.27757,0.9703449079
11,21787.62202,0.9719959705
12,30405.59527,0.9748761347
13,17597.1628,0.9767930557
14,11949.93465,0.9780382065
15,9370.788952,0.979103382
16,8920.489116,0.9801173719
17,7180.567798,0.9811036299
18,6680.946368,0.9820529069
19,5614.646215,0.9828506763
20,4362.118376,0.9834911376
21,3483.426035,0.984085078
22,4027.03608,0.9847335603
23,3561.285526,0.985323909
24,2734.821339,0.9858161143
25,2474.327668,0.9863083127
26,2092.156063,0.9867443067
27,2336.280393,0.9871979793
28,2152.121932,0.9876260839
29,1775.363252,0.9880296942
30,1594.627261,0.9883846635
31,1523.457844,0.9887598675
32,1441.192154,0.9891011592
33,1427.033685,0.9894526154
34,1104.74096,0.9897508576
35,1058.213267,0.9900114791
36,1007.467237,0.9902882323
37,1022.55797,0.9905642879
38,890.2553166,0.9908341416
39,882.8118775,0.9910933765
40,808.4705987,0.9913192941
41,771.4793589,0.9915677601
42,663.370848,0.9917751244
43,726.2586998,0.9920227854
44,602.1623388,0.9922195724
45,607.5370283,0.9924152384
46,516.6906633,0.9925963291
47,531.7315168,0.9927801729
48,397.9082786,0.9929271709
49,420.6831815,0.9930785976
50,363.3980546,0.9932231734
51,422.0355206,0.9933850812
52,439.0794203,0.9935472889
53,346.9215991,0.9936885958
54,331.4692424,0.9938157592
55,304.7662049,0.9939514431
56,328.7713076,0.9940853571
57,302.6415164,0.9942143616
58,266.1935653,0.9943290905
59,256.2530575,0.9944407487
60,229.404846,0.9945472273
61,252.222597,0.9946631022
62,249.9727236,0.9947791274
63,226.3487514,0.9948863316
64,186.1741374,0.9949718629
65,186.0964006,0.9950670538
66,186.9852638,0.9951556145
67,172.514613,0.995242224
68,177.2817448,0.9953371043
69,172.8241388,0.9954222322
70,165.4675188,0.9955100059
71,169.4977361,0.9955959035
72,155.6250573,0.9956843529
73,144.2824269,0.9957636222
74,134.736481,0.9958376469
75,142.5909354,0.995918013
76,139.5988897,0.9959973539
77,120.3730397,0.9960680482
78,141.0508129,0.9961475462
79,133.3955847,0.9962258886
80,125.3749848,0.9963030834
81,126.4602434,0.9963779517
82,110.7580331,0.9964482449
83,120.2379526,0.9965199989
84,109.9713659,0.9965897929
85,102.3181553,0.9966561836
86,100.2230555,0.9967207401
87,104.7096444,0.9967891785
88,94.91001408,0.9968480651
89,88.7972737,0.9969111499
90,100.4118812,0.9969767793
91,97.14318931,0.9970430327
92,90.98585445,0.9971055177
93,79.00167263,0.9971601467
94,79.65713562,0.9972174925
95,78.49323807,0.9972713981
96,84.0995471,0.9973311455
97,76.18765385,0.9973881587
98,74.21652981,0.9974415878
99,76.43305569,0.9974998706
100,76.09803363,0.9975546543
101,67.23281103,0.9976075138
102,74.43352241,0.9976642719
103,70.42230841,0.9977163037
104,71.51493263,0.9977732073
105,62.16930889,0.9978206135
106,61.2230951,0.9978710678
107,71.48726929,0.9979279494
108,66.45743999,0.9979801993
109,63.49044963,0.9980316201
110,59.73208171,0.9980802798
111,62.45217516,0.9981335217
112,58.08266852,0.9981816631
113,58.80216299,0.9982312363
114,55.30959006,0.9982799608
115,57.02123687,0.9983285727
116,56.96823034,0.9983768696
117,55.10023123,0.9984248877
118,54.7637854,0.9984736501
119,54.62607278,0.9985225486
120,52.33598415,0.9985691493
121,54.10691066,0.9986163017
122,54.66689441,0.9986662724
123,52.77644771,0.9987177646
124,53.79181378,0.9987656615
125,49.00158333,0.9988125424
126,50.10025368,0.9988573896
127,48.62478038,0.9989043705
128,47.57549051,0.9989507883
129,46.08909202,0.9989937912
130,45.91347384,0.9990394572
131,50.8149849,0.999088073
132,45.04799501,0.9991341583
133,49.46050954,0.9991835865
134,51.56499412,0.9992324314
135,44.39400702,0.9992786887
136,44.19565585,0.9993232741
137,43.5706439,0.9993682609
138,39.53006398,0.9994087012
139,46.11215324,0.99945522
140,29.79801319,0.9994850692
141,30.33897552,0.9995106464
142,29.89016882,0.9995348544
143,27.83663453,0.9995562126
144,28.38940657,0.9995773227
145,27.03633317,0.9995966584
146,26.1949721,0.9996136554
147,26.44337346,0.9996306883
148,27.17941138,0.9996481953
