freq_radius,radial_mean_power,cumulative_energy_fraction
0,1384676970,0.7327314094
1,28184830.93,0.8520482542
2,4760045.149,0.892350328
3,1548258.188,0.9087362061
4,1134513.616,0.9231446571
5,532213.9206,0.9344099519
6,267252.3925,0.9395011552
7,317291.7705,0.9475604378
8,173103.0746,0.9526901045
9,136324.5376,0.9567298909
10,115892.2054,0.9609001158
11,100498.0536,0.9643036802
12,75027.717,0.9674798818
13,66063.55433,0.9706961044
14,50790.85556,0.9730612862
15,31653.83364,0.9746693153
16,26230.91457,0.9760018576
17,24821.64377,0.9775255064
18,19524.61557,0.9787653305
19,16610.99072,0.9798201378
20,17490.2222,0.980967798
21,14457.08184,0.9820694375
22,9184.553607,0.982730425
23,9084.106856,0.9834034119
24,8064.407138,0.9840520649
25,7374.096211,0.9847076278
26,6472.498882,0.9853104386
27,5982.457901,0.9858296208
28,6274.683219,0.9863874451
29,6000.469195,0.9869970982
30,6761.271392,0.987669738
31,6691.169007,0.9884062192
32,6262.927112,0.9890690516
33,6627.828645,0.9897985611
34,5379.222269,0.99044757
35,4161.277544,0.990905592
36,4210.596284,0.9914225175
37,3813.709875,0.9918826457
38,2785.823132,0.9922600352
39,2183.069737,0.9925465293
40,2139.388889,0.9928137057
41,2030.899197,0.9931060224
42,1670.443509,0.9933393854
43,1829.981264,0.993618277
44,1511.034296,0.9938389655
45,1583.569688,0.994066896
46,1441.067736,0.9942926173
47,1390.410931,0.9945074608
48,1331.096502,0.9947272268
49,1286.942925,0.9949342549
50,1074.258112,0.9951252597
51,1244.518563,0.9953386343
52,1185.72157,0.9955343986
53,951.8008853,0.9957076597
54,869.9939728,0.9958568215
55,733.7418889,0.9960028129
56,668.1328149,0.9961244365
57,543.4355142,0.9962279619
58,712.6408857,0.9963652296
59,639.924883,0.9964898454
60,613.3673921,0.9966170794
61,605.5984756,0.9967414199
62,502.7403455,0.996845706
63,486.1158219,0.9969486014
64,442.0218266,0.9970393567
65,467.0565554,0.9971461267
66,390.0079715,0.9972286792
67,375.9982801,0.9973130414
68,356.5105524,0.9973983135
69,318.6999419,0.9974684706
70,338.5449034,0.9975487291
71,325.1107152,0.9976223619
72,304.354531,0.9976996686
73,305.7742257,0.997774747
74,250.146369,0.9978361669
75,293.2178835,0.9979100242
76,286.5766312,0.9979828153
77,278.6393993,0.9980559495
